HCH_012_218_000295	一貫怒，言於帝，以京察疏留。
HCH_012_218_000296	久之，乃盡留給事、御史之被察者，且許純致仕去。
HCH_012_218_000297	於是主事劉元珍、龐時雍、南京御史朱吾弼力爭之，謂二百餘年計典無特留者。
HCH_012_218_000298	時南察疏亦留中，後迫眾議始下。
HCH_012_218_000299	一貫自是積不為公論所與，彈劾日眾，因謝病不出。
HCH_012_218_000300	三十上四年七月，給事中陳嘉訓、御史孫居相復連章劾其奸。
HCH_012_218_000301	一貫憤，益求去。
HCH_012_218_000302	帝為黜嘉訓，奪居相俸，允一貫歸，鯉亦同時罷。
HCH_012_218_000303	而一貫獨得溫旨，雖賡右之，論者益訾其有內援焉。
HCH_012_218_000304	一貫之入閣也，為錫爵、誌臯所薦。
HCH_012_218_000305	輔政十有三年，當國者四年。
HCH_012_218_000306	枝拄清議，好同惡異，與前後諸臣同。
HCH_012_218_000307	至楚宗、妖書、京察三事，獨犯不韙，論者醜之，雖其黨不能解免也。
HCH_012_218_000308	一貫歸，言者追劾之不已，其鄉人亦多受世詆諆雲。
HCH_012_218_000309	一貫在位，累加少傅兼太子太傅、吏部尚書、建極殿大學士。
HCH_012_218_000310	家居十年卒。
HCH_012_218_000311	贈太傅，謚文恭。
HCH_012_218_000312	方從哲，字中涵，其先德清人。
HCH_012_218_000313	隸籍錦衣衛，家京師。
HCH_012_218_000314	從哲登萬歷十一年進士，授庶吉士，屢遷國子祭酒。
HCH_012_218_000315	請告家居，久不出，時頗稱其恬雅。
HCH_012_218_000316	大學士葉向高請用為禮部右侍郎，不報。
HCH_012_218_000317	中旨起吏部左侍郎。
HCH_012_218_000318	為給事中李成名所劾，求罷，不允。
HCH_012_218_000319	四十一年，拜禮部尚書兼東閣大學士，與吳道南並命。
HCH_012_218_000320	時道南在籍，向高為首輔，政事多決於向高。
HCH_012_218_000321	向高去國，從哲遂獨相。
HCH_012_218_000322	請召還舊輔沈鯉，不允。
HCH_012_218_000323	御史錢春劾其容悅，從哲乞罷。
HCH_012_218_000324	帝優旨慰留。
HCH_012_218_000325	未幾，道南至。
HCH_012_218_000326	會張差梃擊事起，刑部以瘋癲蔽獄。
HCH_012_218_000327	王之寀鉤得其情，龐保、劉成等跡始露。
HCH_012_218_000328	從哲偕道南斥之寀言謬妄，帝納之。
HCH_012_218_000329	道南為言路所詆，求去者經歲，以母憂歸。
HCH_012_218_000330	從哲復獨相，即疏請推補閣臣。
HCH_012_218_000331	自後每月必請。
HCH_012_218_000332	帝以一人足辦，迄不增置。
HCH_012_218_000333	從哲性柔懦，不能任大事。
HCH_012_218_000334	時東宮久輟講，瑞王婚禮逾期，惠王、桂王未擇配，福府莊田遣中使督賦，又議令鬻鹽，中旨命呂貴督織造，駙馬王昺以救劉光復褫冠帶，山東盜起，災異數見，言官翟鳳翀、郭尚賓以直言貶，帝遣中使令工部侍郎林如楚繕修咸安營，宣府缺餉數月，從哲皆上疏力言，帝多不聽。
HCH_012_218_000335	而從哲有內援，以名爭而已，實將順帝意，無所匡正。
HCH_012_218_000336	向高秉政時，黨論鼎沸。
HCH_012_218_000337	言路交通銓部，指清流為東林，逐之殆盡。
HCH_012_218_000338	及從哲秉政，言路已無正人，黨論漸息。
HCH_012_218_000339	丁巳京察，盡斥東林，且及林居者。
HCH_012_218_000340	齊、楚、浙三黨鼎立，務搏擊清流。
HCH_012_218_000341	齊人亓詩教，從哲門生，勢尤張。
HCH_012_218_000342	從哲昵群小，而帝怠荒亦益甚。
HCH_012_218_000343	畿輔、山東、山西、河南、江西及大江南北相繼告災，疏皆不發。
HCH_012_218_000344	舊制，給事中五十餘員，御史百餘員。
HCH_012_218_000345	至是六科止四人，而五科印無所屬；十三道止五人，一人領數職。
HCH_012_218_000346	在外巡按率不得代。
HCH_012_218_000347	六部堂上官僅四五人，都御史數年空署，督撫監司亦屢缺不補。
HCH_012_218_000348	文武大選、急選官及四方教職，積數千人，以吏、兵二科缺掌印不畫憑，久滯都下，時攀執政輿哀訴。
HCH_012_218_000349	詔獄囚以理刑無人不決遣，家屬聚號長安門。
HCH_012_218_000350	職業盡弛，上下解體。
HCH_012_218_000351	四十六年四月，大清兵克撫順，朝野震驚。
HCH_012_218_000352	帝初頗憂懼，章奏時下，不數月泄泄如故。
HCH_012_218_000353	從哲子世鴻殺人，巡城御史劾之。
HCH_012_218_000354	從哲乞罷，不允。
HCH_012_218_000355	長星見東南，長二丈，廣尺余，十有九日而滅。
HCH_012_218_000356	是日京師地震。
HCH_012_218_000357	從哲言：「妖象怪徵，層見疊出，除臣奉職無狀痛自修省外，望陛下大奮乾綱，與天下更始。」
HCH_012_218_000358	朝士雜然笑之。
HCH_012_218_000359	帝亦不省。
HCH_012_218_000360	御史熊化以時事多艱、佐理無效劾從哲，乞用災異策免。
HCH_012_218_000361	從哲懇求罷，堅臥四十餘日，閣中虛無人。
HCH_012_218_000362	帝慰留再三，乃起視事。
