HCH_009_040_000416	天德二年十月，冊立中宮，皇帝將升御座，宮縣奏《乾甯之曲》：人道大倫，王化所基。
HCH_009_040_000417	明聖稽古，陰教欲施。
HCH_009_040_000418	臨軒發冊，備舉彝儀。
HCH_009_040_000419	《麟趾》《關睢》，宜播聲詩。
HCH_009_040_000420	冊寶入門，奏《昌甯之曲》：羽衛充庭，淑旗徽章。
HCH_009_040_000421	禮儀具舉，涓辰以良。
HCH_009_040_000422	相我內訓，來儀椒房。
HCH_009_040_000423	億萬斯年，邦家之光。
HCH_009_040_000424	將受冊寶、以冊寶入門，宮縣奏《肅甯之曲》：塗山興夏，《關睢》美周。
HCH_009_040_000425	坤儀之尊，母臨九州。
HCH_009_040_000426	瑤冊禕衣，光配凝旒。
HCH_009_040_000427	地久天長。
HCH_009_040_000428	福祿是遒。
HCH_009_040_000429	後出閣，奏《順甯之曲》：天立厥配，任姒比靈斯。
HCH_009_040_000430	母儀四海，化行六宮。
HCH_009_040_000431	日月並明，乾坤合德。
HCH_009_040_000432	于萬斯年，作儷宸極。
HCH_009_040_000433	受冊，奏《坤甯之曲》：風化之始，由於壺闈。
HCH_009_040_000434	禮文斯備，爰正坤儀。
HCH_009_040_000435	維順以慈，儷聖同德。
HCH_009_040_000436	則百斯男，垂統無極。
HCH_009_040_000437	天德四年二月，冊皇太子，皇帝將升御座，宮縣奏《乾甯之曲》：大君有為，先圖本固。
HCH_009_040_000438	涓辰之吉，禮成儲副。
HCH_009_040_000439	文物備陳，聲樂皆具。
HCH_009_040_000440	人心載寧，克昌福祚。
HCH_009_040_000441	冊使入門，《昌甯之曲》：在天成象，煥乎前星。
HCH_009_040_000442	惟聖時憲，典禮以行。
HCH_009_040_000443	一人有慶，萬邦以貞。
HCH_009_040_000444	社稷之福，浸昌浸明。
