HCH_012_148_000352	還，進右都御史，總督兩廣軍務。
HCH_012_148_000353	討平番禺、清遠、河源諸瑤。
HCH_012_148_000354	嘉靖初，遷至南京吏部尚書。
HCH_012_148_000355	張璁、桂萼驟進，旦率九卿極言不可。
HCH_012_148_000356	會吏部尚書喬宇罷，召旦代之，未至，為給事中陳洸所劾，勒致仕。
HCH_012_148_000357	年七十餘卒。
HCH_012_148_000358	楊溥，字弘濟，石首人。
HCH_012_148_000359	與楊榮同舉進士。
HCH_012_148_000360	授編修。
HCH_012_148_000361	永樂初，侍皇太子為洗馬。
HCH_012_148_000362	太子嘗讀《漢書》，稱張釋之賢。
HCH_012_148_000363	溥曰：「釋之誠賢，非文帝寬仁，未得行其志也。」
HCH_012_148_000364	採文帝事編類以獻。
HCH_012_148_000365	太子大悅。
HCH_012_148_000366	久之，以喪歸。
HCH_012_148_000367	時太子監國，命起視事。
HCH_012_148_000368	十二年，東宮遣使迎帝遲，帝怒。
HCH_012_148_000369	黃淮逮至北京繫獄。
HCH_012_148_000370	及金問至，帝益怒曰：「問何人，得侍太子！」
HCH_012_148_000371	下法司鞫，連溥，逮系錦衣衛獄。
HCH_012_148_000372	家人供食數絕。
HCH_012_148_000373	而帝意不可測，旦夕且死。
HCH_012_148_000374	溥益奮，讀書不輟。
HCH_012_148_000375	系十年，讀經史諸子數周。
HCH_012_148_000376	仁宗即位，釋出獄，擢翰林學士。
HCH_012_148_000377	嘗密疏言事。
HCH_012_148_000378	帝褒答之，賜鈔幣。
HCH_012_148_000379	已，念溥由己故久困，尤憐之。
HCH_012_148_000380	明年建弘文閣於思善門左，選諸臣有學行者侍值。
HCH_012_148_000381	士奇薦侍講王進、儒士陳繼，蹇義薦學錄楊敬、訓導何澄。
HCH_012_148_000382	詔官繼博士，敬編修，澄給事中，日值閣中。
HCH_012_148_000383	命溥掌閣事，親授閣印，曰：「朕用卿左右，非止學問。欲廣知民事，為治道輔。有所建白，封識以進。」
HCH_012_148_000384	尋進太常卿，兼職如故。
HCH_012_148_000385	宣宗即位，弘文閣罷，召溥入內閣，與楊士奇等共典機務。
HCH_012_148_000386	居四年，以母喪去，起復。
HCH_012_148_000387	九年遷禮部尚書，學士值內閣如故。
HCH_012_148_000388	英宗初立，與士奇、榮請開經筵。
HCH_012_148_000389	豫擇講官，必得學識平正、言行端謹、老成達大體者數人供職。
HCH_012_148_000390	且請慎選宮中朝夕侍從內臣。
HCH_012_148_000391	太后大喜。
HCH_012_148_000392	一日，太后坐便殿，帝西向立，召英國公張輔及士奇、榮、溥、尚書胡濙入。
HCH_012_148_000393	諭曰：「卿等老臣，嗣君幼，幸同心共安社稷。」
HCH_012_148_000394	又召溥前曰：「仁宗皇帝念卿忠，屢加嘆息，不意今尚見卿。」
HCH_012_148_000395	溥感泣，太后亦泣，左右皆悲愴。
HCH_012_148_000396	始仁宗為太子，被讒，宮僚多死詔獄，溥及黃淮一系十年，瀕死者數矣。
HCH_012_148_000397	仁宗時時於宮中念諸臣，太后亦久憐之，故為溥言之如此。
HCH_012_148_000398	太后復顧帝曰：「此五臣，三朝簡任，俾輔後人。皇帝萬幾，宜與五臣共計。」
HCH_012_148_000399	正統三年，《宣宗實錄》成，進少保、武英殿大學士。
HCH_012_148_000400	溥後士奇、榮二十餘年入閣，至是乃與士奇、榮並。
HCH_012_148_000401	六年歸省墓，尋還。
HCH_012_148_000402	是時，王振尚未橫，天下清平，朝無失政，中外臣民翕然稱「三楊」。
HCH_012_148_000403	以居第目士奇曰「西楊」，榮曰「東楊」，而溥嘗自署郡望曰南郡，因號為「南楊」。
HCH_012_148_000404	溥質直廉靜，無城府。
HCH_012_148_000405	性恭謹，每入朝，循牆而走。
HCH_012_148_000406	諸大臣論事爭可否，或至違言。
HCH_012_148_000407	溥平心處之，諸大臣皆嘆服。
HCH_012_148_000408	時謂士奇有學行，榮有才識，溥有雅操，皆人所不及云。
HCH_012_148_000409	比榮、士奇相繼卒，在閣者馬愉、高谷、曹鼐皆後進望輕。
HCH_012_148_000410	溥孤立，王振益用事。
HCH_012_148_000411	十一年七月，溥卒，年七十五。
HCH_012_148_000412	贈太師，諡文定。
