HCH_012_094_000247	其推原中外貪墨所起，以六曹為罪魁，郭桓為誅首。
HCH_012_094_000248	郭桓者，戶部侍郎也。
HCH_012_094_000249	帝疑北平二司官吏李彧、趙全德等與桓為奸利，自六部左右侍郎下皆死，贓七百萬，詞連直省諸官吏，繋死者數萬人。
HCH_012_094_000250	核贓所寄借遍天下，民中人之家大抵皆破。
HCH_012_094_000251	時鹹歸謗御史餘敏、丁廷舉。
HCH_012_094_000252	或以為言，帝乃手詔列桓等罪，而論右審刑吳庸等極刑，以厭天下心，言：「朕詔有司除奸，顧復生奸擾吾民，今後有如此者，遇赦不宥。」
HCH_012_094_000253	先是，十五年空印事發。
HCH_012_094_000254	每歲布政司、府州縣吏詣戶部核錢糧、軍需諸事，以道遠，預持空印文書，遇部駁即改，以為常。
HCH_012_094_000255	及是，帝疑有奸，大怒，論諸長吏死，佐貳榜百戍邊。
HCH_012_094_000256	甯海人鄭士利上書訟其冤，復杖戍之。
HCH_012_094_000257	二獄所誅殺已過當。
HCH_012_094_000258	而胡惟庸、藍玉兩獄，株連死者且四萬。
HCH_012_094_000259	然時引大體，有所縱舍。
HCH_012_094_000260	沅陵知縣張傑當輸作，自陳母賀，當元季亂離守節，今年老失養。
HCH_012_094_000261	帝謂可勵俗，特赦之，秩傑，令終養。
HCH_012_094_000262	給事中彭與民坐繋，其父為上表訴哀。
HCH_012_094_000263	立釋之，且免同繋十七人。
HCH_012_094_000264	有死囚妻妾訴夫冤，法司請黥之。
HCH_012_094_000265	帝以婦為夫訴，職也，不罪。
HCH_012_094_000266	都察院當囚死者二十四人，命羣臣鞫，有冤者，減數人死。
HCH_012_094_000267	真州民十八人謀不軌，戮之，而釋其母子當連坐者。
HCH_012_094_000268	所用深文吏開濟、詹徽、陳甯、陶凱輩，後率以罪誅之。
HCH_012_094_000269	亦數宣仁言，不欲純任刑罰。
HCH_012_094_000270	嘗行郊壇，皇太子從，指道旁荊楚曰：「古用此為撲刑，取能去風，雖寒不傷也。」
HCH_012_094_000271	尚書開濟議法密，諭之曰：「竭澤而漁，害及鯤鮞，焚林而田，禍及麛鷇。法太巧密，民何以自全？」
HCH_012_094_000272	濟慚謝。
HCH_012_094_000273	參政楊憲欲重法，帝曰：「求生於重典，猶索魚於釜，得活難矣。」
HCH_012_094_000274	御史中丞陳寧曰：「法重則人不輕犯，吏察則下無遁情。」
HCH_012_094_000275	太祖曰：「不然。古人制刑以防惡衛善，故唐、虞畫衣冠、異章服以為戮，而民不犯。秦有鑿顛抽脅之刑、參夷之誅，而囹圄成市，天下怨叛。未聞用商、韓之法，可致堯、舜之治也。」
HCH_012_094_000276	寧慚而退。
HCH_012_094_000277	又嘗謂尚書劉惟謙曰：「仁義者，養民之膏粱也；刑罰者，懲惡之藥石也。舍仁義而專用刑罰，是以藥石養人，豈得謂善治乎？」
