HCH_009_009_000306	秋七月丁巳，以參知政事徒單鎰為尚書右丞，御史中丞夾穀衡為參知政事。
HCH_009_009_000307	己未，觀稼於近郊。
HCH_009_009_000308	己巳，禁職官元日、生辰受所屬獻遺，仍為永制。
HCH_009_009_000309	以同僉大睦親府事袞等為賀宋生日使。
HCH_009_009_000310	庚午，諭有司：「自今外路公主應赴闕，其駙馬都尉非奉旨，毋擅離職。」
HCH_009_009_000311	八月癸未，至自萬甯宮。
HCH_009_009_000312	己亥，敕山東、河北闕食等處，許納粟補官。
HCH_009_009_000313	諭有司：「自今親王所領，如有軍處，令佐貳總押軍事。」
HCH_009_009_000314	乙巳，宋、高麗、夏遣使來賀天壽節。
HCH_009_009_000315	九月丁未朔，天壽節，以皇太后喪，不受朝。
HCH_009_009_000316	甲寅，如大房山。
HCH_009_009_000317	乙卯，謁奠裕陵。
HCH_009_009_000318	丙辰，還都。
HCH_009_009_000319	丁巳，以西上閣門使白琬為夏國生日使。
HCH_009_009_000320	己未，定詐為制書未施行制。
HCH_009_009_000321	以尚書左丞夾穀清臣為平章政事，封芮國公，參知政事完顏守貞為尚書左丞，知大興府事張萬公為參知政事。
HCH_009_009_000322	庚申，如秋山。
HCH_009_009_000323	冬十月己丑，至自秋山。
HCH_009_009_000324	甲午，敕司獄毋得與府州司縣官筵宴遠往，違者罪之。
HCH_009_009_000325	禁乙太一混元受籙私建庵室者。
HCH_009_009_000326	壬寅，以河北、山東旱，應雜犯及強盜已未發覺減死一等，釋徒以下。
HCH_009_009_000327	十一月丙午朔，制諸女直人不得以姓氏釋為漢字。
HCH_009_009_000328	甲寅，禁伶人不得以歷代帝王為戲，及稱萬歲，犯者以不應為事重法科。
HCH_009_009_000329	丁巳，以豳王傅宗璧等為賀宋正旦使。
HCH_009_009_000330	戊午，夏人殺我邊將阿魯帶。
HCH_009_009_000331	甲子，制投匿名書者，徒四年。
HCH_009_009_000332	丙寅，以近侍局副使完顏匡為高麗生日使。
HCH_009_009_000333	壬申，敕提刑司官自今每十五日一朝。
HCH_009_009_000334	十二月乙亥朔，敕三品致仕官所得傔從毋令輸庸。
HCH_009_009_000335	己卯，定鎮邊守將致盜賊罪。
HCH_009_009_000336	甲申，獵於近郊。
HCH_009_009_000337	乙酉，詔罷契丹字。
HCH_009_009_000338	己丑，尚書右丞徒單鎰罷。
HCH_009_009_000339	癸卯，宋、高麗、夏遣使來賀正旦。
HCH_009_009_000340	三年春正月乙巳朔，以皇太后喪，不受朝。
HCH_009_009_000341	丙辰，以孝懿皇后小祥，尚書省請依明昌元年世宗忌辰例，諸王陪位，服慘紫，去金玉之飾，百官不視事，禁音樂屠宰，從之。
HCH_009_009_000342	壬戌，如春水。
HCH_009_009_000343	二月甲戌朔，敕猛安謀克許於冬月率所屬戶畋獵二次，每出不得過十日。
HCH_009_009_000344	壬辰，至自春水。
HCH_009_009_000345	丁酉，獵於近郊。
HCH_009_009_000346	辛丑，詔追複田瑴等官爵。
HCH_009_009_000347	閏月甲子，以山東路統軍使烏林答願為御史大夫。
HCH_009_009_000348	三月乙亥，更定強盜征贓、品官及諸人親獲強盜官賞制。
HCH_009_009_000349	辛巳，初設左右衛副將軍。
HCH_009_009_000350	癸未，瀘溝石橋成。
HCH_009_009_000351	幸熙春園。
HCH_009_009_000352	丁亥，如萬甯宮。
HCH_009_009_000353	辛卯，詔賜棣州孝子劉瑜、錦州孝子劉慶祐絹、粟，旌其門閭，複其身。
HCH_009_009_000354	上因問宰臣曰：「從來孝義之人曾官使者幾何？」
HCH_009_009_000355	左丞守貞對曰：「世宗時有劉政者嘗官之，然若輩多淳質不及事。」
HCH_009_009_000356	上曰：「豈必盡然。孝義之人素行已備，稍可用既當用之，後雖有希覬作偽者，然偽為孝義，猶不失為善。可檢勘前後所申孝義之人，如有可用者，可具以聞。」
HCH_009_009_000357	癸巳，尚書省奏：「言事者謂，釋道之流不拜父母親屬，敗壞風俗，莫此為甚。禮官言唐開元二年敕雲：‘聞道士、女冠、僧、尼不拜二親，是為子而忘其生，傲親而徇於末。自今以後並聽拜父母，其有喪紀輕重及尊屬禮數，一準常儀。’臣等以為宜依典故行之。」
HCH_009_009_000358	制可。
HCH_009_009_000359	左丞守貞言：「上嘗命臣問忻州陳毅上書所言事，其一極論守令之弊，臣面問所以救之之道，竟不能言。」
