HCH_012_179_000296	芬遂偕編修崔桐，庶吉士江暉、王廷陳、馬汝驥、曹嘉及應軫上疏曰：「古帝王所以巡狩者，協律度，同量衡，訪遺老，問疾苦，黜陟幽明，式序在位，是以諸侯畏焉，百姓安焉。若陛下之出，不過如秦皇、漢武，侈心為樂而已，非能行巡狩之禮者也。博浪、柏谷，其禍亦可鑒矣。近者西北再巡，六師不攝，四民告病。哀痛之聲，上徹蒼昊。傳播四方，人心震動。故一聞南巡詔書，皆鳥驚獸散。而有司方以迎奉為名，征發嚴急，江、淮之間蕭然煩費。萬一不逞之徒，乘勢倡亂，為禍非細。且陛下以鎮國公自命，茍至親王國境，或據勛臣之禮以待陛下，將北向朝之乎，抑南面受其朝乎？假令循名責實，深求悖謬之端，則左右寵幸無死所矣。尚有事堪痛哭不忍言者：宗藩蓄劉濞之釁，大臣懷馮道之心。以祿位為故物，以朝署為市廛，以陛下為弈棋，以革除年間為故事。特左右寵幸知術短淺，無能以此言告陛下耳。使陛下得聞此言，雖禁門之外，亦將警蹕而出，尚敢輕騎慢遊哉？」
HCH_012_179_000297	疏入，陸完迎謂曰：「上聞有諫者輒恚，欲自引決。諸君且休，勿歸過君上，沽直名。」
HCH_012_179_000298	芬等不應而出。
HCH_012_179_000299	有頃，良勝、潮過芬，扼腕恨完。
HCH_012_179_000300	芬因邀博士陳九川至，酌之酒曰：「匹夫不可奪誌，君輩可遂已乎？」
HCH_012_179_000301	明日遂偕諸曹連疏入。
HCH_012_179_000302	帝大怒，命跪闕下五日，期滿復杖之三十。
HCH_012_179_000303	芬創甚，幾斃，舁至翰林院中。
HCH_012_179_000304	掌院者懼得罪，命摽出之，芬曰：「吾官此，即死此耳。」
HCH_012_179_000305	竟謫福建市舶副提舉，裹創就道。
HCH_012_179_000306	世宗即位，召復故官。
HCH_012_179_000307	嘉靖三年春，昭聖太后壽旦，詔免諸命婦朝賀。
HCH_012_179_000308	芬言：「前者興國太后令旦，命婦朝賀如儀。今遇皇太后壽節，忽行傳免，恐失輕重之宜。乞收成命，以彰聖孝。」
HCH_012_179_000309	帝怒，奪俸三月。
HCH_012_179_000310	時帝欲尊崇本生，芬偕其僚連章極諫。
HCH_012_179_000311	及張璁、桂萼、方獻夫驟擢學士，芬及同官楊維聰、編修王思羞與同列，拜疏乞罷。
HCH_012_179_000312	未幾，復偕同官楊慎等伏左順門哭爭。
HCH_012_179_000313	帝怒，下獄廷杖，奪俸如初。
HCH_012_179_000314	旋遭母喪歸，卒於家，年四十四。
HCH_012_179_000315	世稱「忠孝狀元」。
HCH_012_179_000316	芬豐神玉立，負氣峻厲，端居竟日無倦容，夜則計過自訟。
HCH_012_179_000317	以倡明絕學為己任。
HCH_012_179_000318	其學貫串諸經，兼通天文律歷，而尤精於《周禮》。
HCH_012_179_000319	嘗曰：「《周禮》視《儀禮》、《禮記》，猶蜀之視吳、魏也。賈氏謂《儀禮》為本，《周禮》為末，妄矣。朱子不加是正，何也？」
HCH_012_179_000320	疾革，其子請所言，惟以未及表章《周禮》為恨。
HCH_012_179_000321	學者稱「梓溪先生」。
HCH_012_179_000322	萬歷中，追謚文節。
HCH_012_179_000323	先是，修撰羅倫以諫謫福建提舉，逾六十年而芬繼之。
HCH_012_179_000324	與倫同鄉同官，所謫地與官又同，福建士大夫遂祀芬配倫雲。
HCH_012_179_000325	崔桐，字來鳳，海門人。
HCH_012_179_000326	鄉試第一，與芬同進士及第。
HCH_012_179_000327	授編修。
HCH_012_179_000328	既諫南巡，並跪闕下，受杖奪俸。
