HCH_012_194_000332	嘉靖二年擢南京禮部尚書，率諸臣上疏曰：「陛下繼統以來，昭德塞違，勵精圖治，動無過舉，宜召天和，而災眚頻告者，何也？《詩》曰：「靡不有初，鮮克有終。』陛下登極一詔，百度鹹貞，天下拭目望至治。比來多與詔違，百司罔遵，萬民失仰，此詔令不能如初也。即位之初，逐庸回，任耆舊。比內閣擬旨輒中改，至疏請，徒答溫語，此任賢不能如初也。即位之初，聽言如流，朝請暮報。比來事涉戚畹、宦寺，雖九卿執奏，科道交章，皆曰『業經有旨』。此聽納不能如初也。即位之初，凡先朝傳升、乞升等官，一切厘革。比來恩澤過濫，封拜頻煩。此慎名器不能如初也。即位之初，凡奸黨巨惡俱付三法司。比來輒下鎮撫。此謹國法不能如初也。即位之初，首命戶部減馬房糧芻之半，且令科道官備核馬數。乃因太監閻洪等言，遂寢前詔。此恤民瘼不能如初也。即位之初，遣斥法王、佛子、國師、禪師。比來於禁地設齋醮。此崇正道不能如初也。即位之初，精明充盛。比來聖躬弗豫，天顏未復。此嗇精神不能如初也。夫初政所以清明者，政出公朝，而左右不預也；今政所以混混者，政在左右，而外廷不知也。惟政不可一日不在朝廷，惟權不可一日移於左右。所謂政在朝廷者，非必皆獨運也。股肱有托，耳目有寄，即主威重於九鼎，
HCH_012_194_000333	國勢安於泰山。
HCH_012_194_000334	自古帝王制禦天下，操此術而已。
HCH_012_194_000335	不則宮府之勢隔而信任有所偏，婦寺之情親而聽受有所蔽。
HCH_012_194_000336	名曰總攬，而太阿之鐏實移於下矣。
HCH_012_194_000337	章下禮部，尚書汪俊力勸帝采納，報聞。
HCH_012_194_000338	尋就改兵部。
HCH_012_194_000339	孫交去，召為戶部尚書。
HCH_012_194_000340	帝欲考興獻帝，金偕廷臣伏闕爭，又與何孟春等條張璁建議之非。
HCH_012_194_000341	及上聖母冊，金及趙璜等復不至，帝頻詰讓。
HCH_012_194_000342	金為人樂易。
HCH_012_194_000343	及居官，一以廉正自持。
HCH_012_194_000344	在戶部，尤孜孜為國。
HCH_012_194_000345	永福長公主乞寶坻、武清地，以金言頗減。
HCH_012_194_000346	撫寧、山海莊地賜魏國公徐達者，達卒仍歸之官，定國公光祚請之，金執不可。
HCH_012_194_000347	給事中黃重、御史張珩等先後爭，金等復以為言，始報許。
HCH_012_194_000348	內府諸監局軍匠至數千人，中官梁諫請下部采金玉珠石，金皆執奏。
HCH_012_194_000349	不聽。
HCH_012_194_000350	奸人逯俊等乞兩淮鹽引三十萬，帝許之。
HCH_012_194_000351	金力爭不可，積失帝旨。
HCH_012_194_000352	六年春以考察自陳致仕，馳驛給夫廩如制。
HCH_012_194_000353	歸五年，薦者不已，乃起南京戶部，疏陳利民六事。
HCH_012_194_000354	尋召為工部尚書，加太子少保。
HCH_012_194_000355	帝與張孚敬、李時評諸大臣，以金為賢，頗嫌其老。
HCH_012_194_000356	居數月，加太子太保，改南京兵部。
HCH_012_194_000357	逾歲致仕歸。
HCH_012_194_000358	二十三年卒，年七十八。
HCH_012_194_000359	贈少保，謚端敏。
HCH_012_194_000360	孫柱，以諸生授中書舍人。
HCH_012_194_000361	大學士高拱得罪，倉黃去京師，門生皆避匿，柱獨追送百里外。
