HCH_012_041_000001	山東《禹貢》青、兗二州地。
HCH_012_041_000451	又西有九回山，北陽水出焉，亦曰澠水，經治嶺山麓，曰五龍口，下流經樂安縣，入巨澱。
HCH_012_041_000452	又有南陽水，源出縣西南石膏山，流經城北，又東北合北陽水。
HCH_012_041_000453	又西有淄水，下流至壽光入海。
HCH_012_041_000454	又西南有顏神鎮，孝婦河出焉，入淄川縣界。
HCH_012_041_000455	有顏神鎮巡檢司，嘉靖三十七年築城。
HCH_012_041_000456	鎮西南有青石關。
HCH_012_041_000457	臨淄府西北。
HCH_012_041_000458	南有牛山。
HCH_012_041_000459	又有鼎足山，女水出焉，下流合北陽水。
HCH_012_041_000460	又有蒨山。
HCH_012_041_000461	又有南郊山，其下爲天齊淵。
HCH_012_041_000462	城東有淄水，又西有澠水，又有系水，下流俱入時水。
HCH_012_041_000463	其時水自西南而東北，亦曰耏水，又有澅水流入焉，下流俱至樂安縣入海。
HCH_012_041_000464	南有淄河店巡檢司，後廢。
HCH_012_041_000465	博興府西北。
HCH_012_041_000466	元博興州。
HCH_012_041_000467	洪武二年降爲縣。
HCH_012_041_000468	南有小清河，有時水。
HCH_012_041_000469	高苑府西北。
HCH_012_041_000470	東南有商山。
HCH_012_041_000471	西南有小清河。
HCH_012_041_000472	西北有田鎮巡檢司。
HCH_012_041_000473	後廢。
HCH_012_041_000474	樂安府北。
HCH_012_041_000475	東北濱海，有鹽場。
HCH_012_041_000476	北有小清河。
HCH_012_041_000477	東有時水。
HCH_012_041_000478	又東南有淄水，又有北陽水，又有巨洋水，俱匯流於縣東北之高家港入海。
HCH_012_041_000479	港即古之馬車瀆也。
HCH_012_041_000480	有高家港巡檢司。
HCH_012_041_000481	又西北有樂安鎮巡檢司。
HCH_012_041_000482	又東北有塘頭寨，有百戶所駐焉。
HCH_012_041_000483	壽光府東北。
HCH_012_041_000484	北濱海，有鹽場。
HCH_012_041_000485	西有淄水，又有北陽水。
HCH_012_041_000486	又東有巨洋水。
HCH_012_041_000487	又西北有清水泊，即古之鉅定湖也，其北接樂安縣之高家港。
HCH_012_041_000488	又東北有廣陵鎮巡檢司。
HCH_012_041_000489	昌樂府東。
HCH_012_041_000490	元屬濰州，尋省，後復置，仍屬濰州。
HCH_012_041_000491	洪武初，改屬。
HCH_012_041_000492	西北有故城。
HCH_012_041_000493	洪武中，徙於今治。
HCH_012_041_000494	東南有方山，東丹水所出，北徑昌樂故城，西丹水流合焉，下流至壽光縣入於海。
HCH_012_041_000495	又南有白狼水，至濰縣入海。
HCH_012_041_000496	臨朐府東。
HCH_012_041_000497	南有朐山，又有大峴山，上有穆陵關巡檢司。
HCH_012_041_000498	又東有沂山，一名東泰山，沭水、瀰水俱發源於此。
HCH_012_041_000499	瀰水，一名巨洋水，西合石溝水，至壽光入海。
