HCH_012_154_000338	以荊州護衛指揮同知從征交阯，破坡壘、隘留、多邦城，拔東、西二都，皆有功。
HCH_012_154_000339	賊平，調昌江衛。
HCH_012_154_000340	仁宗初，隨方政討黎利於茶籠，深入陷陣死。
HCH_012_154_000341	陳忠，臨淮人。
HCH_012_154_000342	初為寬河副千戶。
HCH_012_154_000343	以「靖難」功，積官指揮同知。
HCH_012_154_000344	坐事戍廣西。
HCH_012_154_000345	從征交阯，自個招市舁小舟入江，劫黎季犛水寨，破之。
HCH_012_154_000346	攻多邦城，先登。
HCH_012_154_000347	論功，還故官，調交州左衛。
HCH_012_154_000348	屢與賊戰有功，進都指揮同知。
HCH_012_154_000349	黎利寇清化，忠戰死。
HCH_012_154_000350	仁宗憫之，與雲皆優恤如制。
HCH_012_154_000351	李任，永康人。
HCH_012_154_000352	以燕山衛指揮僉事從成祖起兵，累功為都指揮同知。
HCH_012_154_000353	宣德元年從征交阯，守昌江。
HCH_012_154_000354	黎利以昌江為官軍往來要路，悉力攻之。
HCH_012_154_000355	時都督蔡福為賊所獲，逼令招任降。
HCH_012_154_000356	任於城上罵福曰：「汝為大將，不能殺賊，反為賊用，狗彘不食汝余。」
HCH_012_154_000357	發炮擊之。
HCH_012_154_000358	賊擁福去，大集兵象飛車沖梯，薄城環攻。
HCH_012_154_000359	任與指揮顧福帥精騎出城掩擊，燒其攻具。
HCH_012_154_000360	賊又築土山，臨射城中，鑿地道潛入城。
HCH_012_154_000361	任、福隨方禦之。
HCH_012_154_000362	死守九月餘，前後三十戰。
HCH_012_154_000363	賊聞征夷將軍柳升兵將至，益兵來攻。
HCH_012_154_000364	二年四月城陷，任、福猶帥死士三戰，三敗賊。
HCH_012_154_000365	賊驅象大至，不能支，皆自剄死。
HCH_012_154_000366	內官馮智、指揮劉順俱自經。
HCH_012_154_000367	城中軍民婦女不屈死者數千人。
HCH_012_154_000368	劉子輔，廬陵人。
HCH_012_154_000369	由國子生擢監察御史，巡按浙江。
HCH_012_154_000370	性廉平，浙人德之。
HCH_012_154_000371	按察使周新不茍許與，獨稱子輔賢。
HCH_012_154_000372	遷廣東按察使。
HCH_012_154_000373	坐累，左遷諒江知府，善撫循其民。
HCH_012_154_000374	黎利反，子輔與守將集兵民死守亦九閱月，與昌江先後同陷。
HCH_012_154_000375	子輔曰：「吾義不汙賊刃。」
HCH_012_154_000376	即自縊死。
HCH_012_154_000377	一子一妾皆死。
HCH_012_154_000378	何忠，字廷臣，江陵人。
HCH_012_154_000379	由進士為監察御史。
HCH_012_154_000380	廉慎，人莫敢幹以私。
HCH_012_154_000381	永樂中，三殿災，言事忤旨，出為政平知州。
HCH_012_154_000382	民安其政。
HCH_012_154_000383	寧橋之敗，王通詭與賊和，而請濟師於朝，為賊所遮不得達。
HCH_012_154_000384	賊遣使奉表入謝。
HCH_012_154_000385	通乃遣忠及副千戶桂勝與偕行，以奏還土地為辭，陰令請兵。
HCH_012_154_000386	至昌江，內官徐訓泄其謀。
HCH_012_154_000387	賊遂拘忠、勝，臨以白刃。
HCH_012_154_000388	二人瞋目怒罵不屈，並忠子皆被害。
HCH_012_154_000389	徐麒，桂林中衛指揮使，與南寧千戶蔡颙守邱溫。
HCH_012_154_000390	時賊勢已熾，將吏多棄城遁。
