HCH_013_018_000312	在舟中日泣不輟，竟不食而死，母韓、妻范為營地葬之。
HCH_013_018_000313	范年二十，有姿色，居貧，奉姑甚謹，每哭其夫，則走山谷中大號，不欲聞之姑也。
HCH_013_018_000314	官有聞其寡者，欲委禽焉，既而聞其事，曰：「節孝婦也！我何忍犯之？」
HCH_013_018_000315	皆以壽終。
HCH_013_018_000316	中書舍人何申，奉使至四川，至峽口，聞金川不守。
HCH_013_018_000317	慟哭吐血，不數日死。
HCH_013_018_000318	北平按察僉事湯宗，上言按察使陳瑛密受王府金錢，有異謀，逮瑛謫廣西。
HCH_013_018_000319	遜國後，瑛召還，窮治建文諸臣，宗論死。
HCH_013_018_000320	盧振，當燕兵起時，與徐輝祖攻守力為多，後逮至京，不屈，榜振名，數其罪，殺之，誅其族。
HCH_013_018_000321	牛景先，聞金川失守，變姓名出走。
HCH_013_018_000322	已而治齊、黃黨，逮景先妻妾，發教坊司。
HCH_013_018_000323	振、景先俱不知何許人。
HCH_013_018_000324	監察御史巨敬，被執，不屈，死之，誅其族。
HCH_013_018_000325	戶科給事中韓永，遜國後，杜門不出，召入見，欲復其官。
HCH_013_018_000326	曰：「吾王蠋耳，何以官為？」
HCH_013_018_000327	不屈死。
HCH_013_018_000328	國子監博士黃彥清，在駙馬都尉梅殷軍中，私諡建文帝，論死，并逮從子貴池典史金蘭等繫獄。
HCH_013_018_000329	僉都御史程本立，出為江西副使，未及行，值北師渡江，本立悲憤自縊死。
HCH_013_018_000330	詔奪其恩典，籍其家，只敝衣數襲而已。
HCH_013_018_000331	給事中龔泰，北兵渡江，奉命巡城，泰與妻傅氏訣曰：「國事至此，我自分必死。爾第攜幼穉歸，否則俱溺井，無辱。」
HCH_013_018_000332	俄宮中火起，泰馳赴，為兵校所執，見文皇金川門，以非奸籍得釋，自投城下死。
