HCH_012_213_000386	王甚賢之，邸中中官亦無不善居正者。
HCH_012_213_000387	而李芳數從問書義，頗及天下事。
HCH_012_213_000388	尋遷右諭德兼侍讀，進侍講學士，領院事。
HCH_012_213_000389	階代嵩首輔，傾心委居正。
HCH_012_213_000390	世宗崩，階草遺詔，引與共謀。
HCH_012_213_000391	尋遷禮部右侍郎兼翰林院學士。
HCH_012_213_000392	月餘，與裕邸故講官陳以勤俱入閤，而居正為吏部左侍郎兼東閣大學士。
HCH_012_213_000393	尋充《世宗實錄》總裁，進禮部尚書兼武英殿大學士，加少保兼太子太保，去學士五品僅歲余。
HCH_012_213_000394	時徐階以宿老居首輔，與李春芳皆折節禮士。
HCH_012_213_000395	居正最後入，獨引相體，倨見九卿，無所延納。
HCH_012_213_000396	間出一語輒中肯，人以是嚴憚之，重於他相。
HCH_012_213_000397	高拱以很躁被論去，徐階亦去，春芳為首輔。
HCH_012_213_000398	亡何，趙貞吉入，易視居正。
