HCH_012_321_000265	政督諸軍進討，李安及都指揮于瓚、謝鳳、薛聚、朱廣等先奔，政由此敗，俱謫為事官，立功贖罪。
HCH_012_321_000266	未幾，智遣都指揮袁亮擊賊黎善於廣威州，欲渡河，土官何加伉言有伏。
HCH_012_321_000267	亮不從，遣指揮陶森、錢輔等渡河，中伏並死，亮亦被執。
HCH_012_321_000268	善遂分兵三道犯交州，其攻下關者為都督陳濬所敗，攻邊江小門者為李安所敗，善夜走。
HCH_012_321_000269	通聞之，亦分兵三道出擊。
HCH_012_321_000270	馬瑛敗賊清威，至石室與通會，俱至應平寧橋。
HCH_012_321_000271	士卒行泥濘中，遇伏兵，大敗。
HCH_012_321_000272	尚書陳洽死焉，通亦中脇還。
HCH_012_321_000273	利在乂安聞之，鼓行至清潭，攻北江，進圍東關。
HCH_012_321_000274	通素無戰功，以父真死事封。
HCH_012_321_000275	朝廷不知其庸劣，誤用之。
HCH_012_321_000276	一戰而敗，心膽皆喪，舉動乖張，不奉朝命，擅割清化以南地予賊，盡撤官吏軍民還東關。
HCH_012_321_000277	惟清化知州羅通不從，利移兵攻之不下。
HCH_012_321_000278	賊分兵萬人圍隘留關，百戶萬琮奮擊，乃退。
