HCH_012_155_000323	將校失律，即奏請置罪，而撫士卒有恩。
HCH_012_155_000324	邊僥帖然，稱名將。
HCH_012_155_000325	嘗逞憤杖殺都司經歷，又以私憾杖百戶，並為言官所劾。
HCH_012_155_000326	置不問，既卒，吏部言非世券，授其子序指揮使。
HCH_012_155_000327	陳懷，合肥人。
HCH_012_155_000328	襲父職為真定副千戶。
HCH_012_155_000329	永樂初，積功至都指揮僉事。
HCH_012_155_000330	從平安南，進都指揮使，蒞山西都司事。
HCH_012_155_000331	再從張輔擒安南賊簡定，從都督費瓛征涼州叛人虎保，皆有功。
HCH_012_155_000332	仁宗立，進都督同知。
HCH_012_155_000333	宣德元年，代梁銘為總兵官，鎮寧夏。
HCH_012_155_000334	時官軍征交阯者屢敗，詔發松潘軍援之，將士憚行。
HCH_012_155_000335	千戶錢宏與眾謀，詐言番叛，帥兵掠麥匝諸族。
HCH_012_155_000336	番人震恐，遂反。
HCH_012_155_000337	殺指揮陳傑等，陷松潘、疊溪，圍威、茂諸州。
HCH_012_155_000338	指揮吳玉、韓整、高隆相繼敗績，西鄙騷然。
HCH_012_155_000339	詔遣鴻臚丞何敏、指揮吳瑋往招之，而命懷統劉昭、趙安、蔣貴帥師數萬隨其後。
HCH_012_155_000340	瑋等至，賊不順命。
HCH_012_155_000341	瑋與龍州知州薛繼賢擊賊，復松潘。
HCH_012_155_000342	比懷至，仍用瑋前鋒，遂復疊溪，降二十餘寨。
HCH_012_155_000343	招撫復業者萬二千二百餘戶，歸所掠軍民二千二百餘人，事遂定。
HCH_012_155_000344	進左都督，厚賚金幣，而絀瑋功不錄。
HCH_012_155_000345	懷留鎮四川。
HCH_012_155_000346	在鎮驕縱不法，干預民事，受賕庇罪人，侵奪屯田，笞辱僉事柴震等，數為言官所劾。
HCH_012_155_000347	帝降敕責讓，復以御史王禮彈章示之。
HCH_012_155_000348	懷引罪。
HCH_012_155_000349	置不問。
HCH_012_155_000350	六年，松潘勒都、北定諸族暨空郎、龍溪諸寨番復叛。
HCH_012_155_000351	懷遣兵戰敗，指揮安寧等死者三百餘人。
HCH_012_155_000352	懷乃親督兵深入，破革兒骨寨，進攻空郎乞兒洞。
HCH_012_155_000353	賊敗，斬首墜崖死者無算。
HCH_012_155_000354	革兒骨賊復聚生苗邀戰。
HCH_012_155_000355	擊破之，剿戮殆盡。
HCH_012_155_000356	於是任昌、牛心諸寨番聞風乞降，群寇悉平。
HCH_012_155_000357	久之，巡按御史及按察使復奏：「懷僭侈逾分。每旦，令三司官分班立，有事跪白。懷中坐，稱旨行遣。且日荒於酒，不飭邊備，致城寨失陷。」
HCH_012_155_000358	宣宗怒，召懷還，命文武大臣鞫之，罪當斬。
HCH_012_155_000359	下都察院獄，宥死落職。
HCH_012_155_000360	正統二年以原官鎮大同。
HCH_012_155_000361	時北人來貢者日給廩餼，為軍民累。
HCH_012_155_000362	懷言於朝，得減省。
HCH_012_155_000363	居二年，以老召還，命理中府事。
HCH_012_155_000364	九年春，與中官但住出古北口，征兀良哈。
HCH_012_155_000365	還與馬亮等同封，而懷得平鄉伯。
HCH_012_155_000366	十四年扈駕北征，死土木。
HCH_012_155_000367	贈侯，謚忠毅。
HCH_012_155_000368	子輔乞襲爵，吏部言非世券，執不許。
HCH_012_155_000369	景帝以懷死事，許之。
HCH_012_155_000370	輔卒，子政請襲，吏部執如初，中旨許嗣。
HCH_012_155_000371	政鎮兩廣久，自陳軍功，乞世券，吏部復執不可，詔予之。
HCH_012_155_000372	政卒，子信嗣。
HCH_012_155_000373	弘治中卒，無子，弟俊嗣指揮使。
HCH_012_155_000374	馬亮，淇人。
HCH_012_155_000375	以燕山衛卒從成祖起兵，累功至都指揮僉事。
HCH_012_155_000376	宣宗時官至左都督。
HCH_012_155_000377	兀良哈之役，偕中官劉永誠出劉家口，至黑山、大松林、流沙河諸處，遇賊勝之。
HCH_012_155_000378	還封招遠伯。
HCH_012_155_000379	是役也，王振主之，故諸將功少率得封。
