HCH_012_306_000320	明年夏，紹軾亦卒，銓罷。
HCH_012_306_000321	其秋，施鳳來、張瑞圖、李國𣚴入。
HCH_012_306_000322	已而秉謙乞歸，立極遂為首輔。
HCH_012_306_000323	施鳳來，平湖人。
HCH_012_306_000324	張瑞圖，晉江人。
HCH_012_306_000325	皆萬曆三十五年進士。
HCH_012_306_000326	鳳來殿試第二，瑞圖第三，同授編修，同積官少詹事兼禮部侍郎，同以禮部尚書入閣。
HCH_012_306_000327	鳳來素無節概，以和柔媚於世。
HCH_012_306_000328	瑞圖會試策言：「古之用人者，初不設君子小人之名，分別起於仲尼。」
HCH_012_306_000329	其悖妄如此。
HCH_012_306_000330	忠賢生祠碑文，多其手書。
HCH_012_306_000331	莊烈帝即位，山陰監生胡煥猷劾立極、鳳來、瑞圖、國𣚴等，「身居揆席，漫無主持。甚至顧命之重臣，斃於詔獄；五等之爵，尚公之尊，加於閹寺；而生祠碑頌，靡所不至。律以逢奸之罪，夫復何辭？」
HCH_012_306_000332	帝為除煥猷名，下吏。
HCH_012_306_000333	立極等內不自安，各上疏求罷，帝猶優詔報之。
HCH_012_306_000334	十一月，立極乞休去，來宗道、楊景辰並入閣，鳳來為首輔。
HCH_012_306_000335	御史羅元賓復疏糾，鳳來、瑞圖俱告歸。
HCH_012_306_000336	宗道，蕭山人。
HCH_012_306_000337	立極同年進士，累官太子太保、禮部尚書，以本官兼內閣大學士，預機務。
HCH_012_306_000338	宗道官禮部時，為崔呈秀父請恤典，中有「在天之靈」語。
HCH_012_306_000339	編修倪元璐屢疏爭時事，宗道笑曰：「渠何事多言，詞林故事，止香茗耳。」
HCH_012_306_000340	時謂宗道清客宰相云。
HCH_012_306_000341	景辰，瑞圖同縣人。
HCH_012_306_000342	萬曆四十一年進士。
HCH_012_306_000343	積官吏部右侍郎，與宗道同入閣。
HCH_012_306_000344	官翰林時，為《要典》副總裁，一徇奸黨指，又三疏頌忠賢。
HCH_012_306_000345	及朝局已變，乃請毀《要典》，給事、御史交劾之，與宗道同日罷。
