HCH_009_054_000174	其六曰：「前代官到任之後，即舉可自代者，其令自今五品以上官，舉自代以備交承。」
HCH_009_054_000175	吏部按《唐會要》，建中元年赦文，文武常參官外，節度、觀察、防禦、軍使、刺史、赤令、畿令、並七品以上清官，大理司直評事，受命之三日，于四方館上表，讓一人以自代，外官則馳驛奏聞。
HCH_009_054_000176	表付中書門下，每官闕即以所舉多者量授。
HCH_009_054_000177	今擬內外官五品以上到任，須舉所知才行官一員以自代。
HCH_009_054_000178	太傅、丞相、平章謂：「自古人材難得，若令舉以自代，恐濫而不得實材。」
HCH_009_054_000179	參政謂：「自代非謂即令代其人也，止類姓名，取所舉多者約量授之爾，此蓋舜官相讓，《周官》推賢之遺意。」
HCH_009_054_000180	上以參政所言與吏部同，從之。
HCH_009_054_000181	其七曰：「隨朝、外路長官，一任之內足知僚屬之能否，每任可令舉幾人。」
HCH_009_054_000182	吏部擬，今內外五品以上職事官長，于僚屬內須舉才能官一人，數外舉者聽。
HCH_009_054_000183	其八曰：「人才隨色有之，監臨諸物料及草澤隱逸之士，不無人材，宜薦舉用之。」
HCH_009_054_000184	吏部擬，監臨諸物料內，以外路五品、隨朝六品以上，舉廉能者，直言所長，移文轉申省，差官察訪得實，隨材任使。
HCH_009_054_000185	草澤隱逸，當遍下司縣，以提刑司察訪呈省。
HCH_009_054_000186	隨色人材，令內外五品以上職官薦之。
HCH_009_054_000187	其九曰：「親軍出職，內有尤長武藝，勇敢過人者，其令內外官舉、提刑司察，如資考高者，可參注沿邊刺史、同知、縣令。」
HCH_009_054_000188	吏部擬，若依本格資歷，恐妨才能，若舉察得實者，依本格減一資歷擬注。
HCH_009_054_000189	尚書省擬，依旨升品擬注。
HCH_009_054_000190	其十曰：「內外官所薦人材，即依所舉試之，委提刑司採訪虛實，若果能稱職，更加遷擢，如或碌碌，即送常調。古者進賢受上賞，進不肖有罰，其立定賞罰條格，庶使人不敢徇私也。」
HCH_009_054_000191	省臣議，隨款各欲舉人，則一人內所舉不下五七人。
HCH_009_054_000192	自古知人為難，人材亦自難得，限數多則猥避責罰、務苟簡，不副聖主求賢之意。
HCH_009_054_000193	擬以前項各款，隨色能舉一人，即充歲舉之數。
HCH_009_054_000194	如此則不濫，而實材得矣。
HCH_009_054_000195	每歲貢人數，尚書省覆察相同，則置簿籍之，如有闕則當隨材奏擬。
HCH_009_054_000196	明昌元年，敕齊民之中有德行才能者，司縣舉之，特賜同四舉五舉人下。
HCH_009_054_000197	明昌元年，制如所舉碌碌無過人跡者，元舉官依例治罪。
HCH_009_054_000198	宣宗興定元年，令隨朝七品、外路六品以上職事官，舉正七品以下職事官年未六十、不犯贓，堪任使者一人。
HCH_009_054_000199	三年，定辟舉縣令制。
HCH_009_054_000200	稱職，則元舉官減一資歷。
HCH_009_054_000201	中平，約量升除。
HCH_009_054_000202	不稱，罰俸一月。
HCH_009_054_000203	犯免官，免所居官。
HCH_009_054_000204	及官當私罪解任、杖罪、贓汙者，約量降除。
HCH_009_054_000205	汙贓至徒以上及除名者，一任不理資考。
HCH_009_054_000206	三品以上舉縣令，稱職者約量升除，不稱奪俸一月。
HCH_009_054_000207	若被舉者犯免官等罪，奪俸兩月。
HCH_009_054_000208	贓汙至徒以上及除名者，奪俸三月，獄成，而會赦原者，亦原之。
HCH_009_054_000209	五年，制辟舉縣令考平者，元舉者不得複舉，他人舉之者聽。
HCH_009_054_000210	又舊制，保舉縣令秩滿之後，以六事論升降，三事以下減一資歷，四事減兩資歷，六事皆備則升職一等。
