HCH_012_177_000314	又劾總兵官紀廣等罪，廣訐秉自解。
HCH_012_177_000315	帝召秉還，以言官交請，乃命御史練綱、給事中嚴誠往勘，卒留秉。
HCH_012_177_000316	時邊民多流移，秉廣行招徠，復業者奏給月廩。
HCH_012_177_000317	瘞土木、鷂兒嶺暴骸，乞推行諸塞。
HCH_012_177_000318	軍家為寇所殺掠無依者，官為養贍，或資遣還鄉。
HCH_012_177_000319	厘諸弊政，所條奏百十章，多允行。
HCH_012_177_000320	諜報寇牧近邊，廷議遣楊俊會宣府兵出剿。
HCH_012_177_000321	秉曰：「塞外原諸部牧地，非犯邊也。掩殺幸功，非臣所敢聞。」
HCH_012_177_000322	乃止。
HCH_012_177_000323	諸部質所掠男婦求易米，朝議成丁者予一石，幼者半之。
HCH_012_177_000324	諸部概乞一石，鎮將不可。
HCH_012_177_000325	秉曰：「是輕人重粟也。」
HCH_012_177_000326	如其言予之。
HCH_012_177_000327	自請專擅罪，帝以為識體。
HCH_012_177_000328	天順初，罷巡撫官，改督江南糧儲。
HCH_012_177_000329	初，江南蘇、松賦額不均。
HCH_012_177_000330	陳泰為巡撫，令民田五升者倍征，官田重者無增耗，賦均而額不虧。
HCH_012_177_000331	秉至，一守其法。
HCH_012_177_000332	尋坐舉知府違例被逮，帝以秉過微，宥之。
HCH_012_177_000333	復任，請滸墅關稅悉征米備荒。
HCH_012_177_000334	又發內官金保監淮安倉科索罪。
HCH_012_177_000335	御史李周等左遷，秉疏救。
HCH_012_177_000336	帝怒，將罪之。
HCH_012_177_000337	會廷議復設巡撫，大臣薦秉才，遂命巡撫大同。
HCH_012_177_000338	都指揮孫英先以罪貶職還衛，總兵李文妄引詔書，令復職。
HCH_012_177_000339	秉至，即斥之。
HCH_012_177_000340	裨將徐旺領騎卒操練，秉以旺不勝任，解其官。
HCH_012_177_000341	未幾，天城守備中官陳例久病，秉請易以羅付。
HCH_012_177_000342	帝責秉專擅，徵下詔獄。
HCH_012_177_000343	指揮門達並以前舉知府、救御史及斥孫英等為秉罪。
HCH_012_177_000344	法司希旨，斥為民。
HCH_012_177_000345	居三年，用閣臣薦，起故官，蒞南京都察院。
HCH_012_177_000346	憲宗立，進右副都御史，復撫宣府。
HCH_012_177_000347	數月，召拜左都御史。
HCH_012_177_000348	成化改元，掌大計，黜罷貪殘，倍於其舊。
HCH_012_177_000349	明年秋，命整飭遼東抵大同邊備。
HCH_012_177_000350	至即劾鎮守中官李良、總兵武安侯鄭宏失律罪，出都指揮裴顯於獄，舉指揮崔勝、傅海等，擊敵鳳皇山。
HCH_012_177_000351	捷聞，璽書嘉勞。
HCH_012_177_000352	秉乃往巡視宣府、大同，更將帥，申軍令而還。
HCH_012_177_000353	未幾，命為總督，與武清伯趙輔分五道出塞，大捷。
HCH_012_177_000354	帝勞以羊酒，賜麒麟服，加太子少保。
HCH_012_177_000355	三年冬，吏部尚書王翺致仕，廷推代者，帝特擢秉任之。
HCH_012_177_000356	秉銳意澄仕路。
HCH_012_177_000357	監生需次八千餘人，請分別考核。
HCH_012_177_000358	黜庸劣者數百人，於是怨謗紛起。
HCH_012_177_000359	左侍郎崔恭以久次當得尚書，而秉得之，頗不平。
HCH_012_177_000360	右侍郎尹旻嘗學於秉，秉初用其言，既而疏之。
HCH_012_177_000361	侍讀彭華附中貴，數以私幹秉，秉不聽。
HCH_012_177_000362	胥怨秉。
HCH_012_177_000363	御史戴用請兩京堂上官及方面正佐，如正統間例，會廷臣保舉；又吏部司屬與各部均升調，不得久擅要地，且驟遷。
HCH_012_177_000364	語侵吏部，吏部持之。
HCH_012_177_000365	帝令兩京官四品以上，吏部具缺，取上裁。
HCH_012_177_000366	而御史劉璧、吳遠、馮徽爭請仍歸吏部。
HCH_012_177_000367	帝怒，詰責言者。
HCH_012_177_000368	會朝覲考察，秉斥退者眾，又多大臣鄉故，眾怨交集。
