HCH_012_260_000247	眾曰：「善。」
HCH_012_260_000248	乃以僉事張大經監大將左良玉、陳洪範軍，以通判孔貞會監副將龍在田軍，戰於雙溝，大破之，斬首二千餘級。
HCH_012_260_000249	羅汝才、惠登相率九營走均州，李萬慶率三營走光、固。
HCH_012_260_000250	十一月，京師戒嚴，召洪承疇、孫傳庭入衛。
HCH_012_260_000251	汝才等以為討己也，懼而叩太和山提督中官，求撫於文燦，許之。
HCH_012_260_000252	處汝才及一丈青、小秦王、一條龍四營於鄖縣，處登相及王國寧、常德安、楊友賢、王光恩五營於均州。
HCH_012_260_000253	上言：「臣於李萬慶、賀一龍、馬光玉及順天王主剿，他皆主撫。請赦汝才等罪，授之官。」
HCH_012_260_000254	可之。
HCH_012_260_000255	時京軍、良玉軍皆以入衛行，馬士秀、杜應金遂叛於許州。
HCH_012_260_000256	初，士秀等降，良玉以其眾處許之郊外。
HCH_012_260_000257	許，大州也，良玉諸將寄孥與賄焉。
HCH_012_260_000258	良玉久征不歸，士秀、應金在文燦軍中，偽請急，假良玉軍號入城。
HCH_012_260_000259	夜半，兵從府第出，燒城南樓，劫庫，殺官吏，挈其貲投萬慶。
HCH_012_260_000260	萬慶者，賊魁射塌天也。
HCH_012_260_000261	十二年三月，良玉還，破降馬進忠，使劉國能擊降萬慶，士秀、應金亦再降。
HCH_012_260_000262	順天王已前死，其黨順義王為其下所殺。
HCH_012_260_000263	文燦遂上言：「臣兵威震懾，降者接踵。十三家之賊，惟革、左及馬光玉三部尚稽天誅，可歲月平也。」
HCH_012_260_000264	帝優詔報之。
HCH_012_260_000265	初，張獻忠之降也，擁兵萬人踞谷城，索十萬人餉，文燦及中外要人曰與之。
HCH_012_260_000266	為請官、請地、請關防矣，獻忠列軍狀曰請備遣，既而三檄其兵不應，朝野知獻忠必叛也。
HCH_012_260_000267	其後，汝才降，不肯釋甲。
HCH_012_260_000268	及進忠、萬慶等並降，文燦以為得策，謂天下且無賊也。
HCH_012_260_000269	五月，獻忠遂反於谷城，劫汝才於房縣，於是九營俱反。
HCH_012_260_000270	初，均州五營懼見討，自疑，相與歃血拒獻忠，無何亦叛去。
HCH_012_260_000271	帝聞變，大驚，削文燦官，戴罪視事。
HCH_012_260_000272	七月，良玉擊獻忠羅英山，敗績。
HCH_012_260_000273	帝大怒，命嗣昌來代。
HCH_012_260_000274	嗣昌已至軍，即遣使逮文燦下獄，坐大辟，所親姚明恭柄國而不能救也。
HCH_012_260_000275	十三年十月，文燦竟棄市。
HCH_012_260_000276	練國事，字君豫，永城人。
HCH_012_260_000277	萬曆四十四年進士。
HCH_012_260_000278	授沛縣知縣，調山陽。
HCH_012_260_000279	天啟二年，征授御史。
HCH_012_260_000280	廣寧失守，國事請薊州、宣府、大同及山東、山西、河南撫臣各練兵萬，以壯山海聲援。
HCH_012_260_000281	又請捕誅殺大同妖人。
HCH_012_260_000282	又疏論魏忠賢使群閹辱尚書鐘羽正，索冬衣，傷國體。
HCH_012_260_000283	國事在諫垣，匡救多。
HCH_012_260_000284	給事中趙興邦，忠賢私人也，以國事為趙南星黨，劾之，削籍。
HCH_012_260_000285	崇禎元年復官，擢太僕少卿，進右僉都御史，巡撫陜西。
HCH_012_260_000286	關中頻歲饑，盜賊蜂起。
HCH_012_260_000287	四年正月，神一元陷保安。
HCH_012_260_000288	國事遣賀虎臣援延安，而身率副將張全昌連破點燈子於中部、合阝陽、韓城，又破別部於宜君、雒川，降其魁李應鰲。
HCH_012_260_000289	諸將張全昌、趙大允、王承恩、杜文煥、賀虎臣等分剿賊澄城、宜川、耀州、白水、合阝陽，斬首千九百有奇。
HCH_012_260_000290	總督楊鶴既受群賊降，已，復相繼叛，田近庵、李老柴陷中部。
HCH_012_260_000291	國事偕承恩攻圍五月，克之，而所部亦頻失事，楊鶴被征，國事亦戴罪自贖。
HCH_012_260_000292	五年，紅軍友、李都司等將犯平涼。
HCH_012_260_000293	國事自涇趨固原，檄大帥楊嘉謨殺賊塘馬，斷其偵探。
HCH_012_260_000294	賊乃走慶陽西壕，嘉謨、曹文詔邀擊，大敗之。
HCH_012_260_000295	自三月至五月，大小數十戰，賊迄破滅。
HCH_012_260_000296	國事免戴罪。
HCH_012_260_000297	當是時，關中五鎮，大帥曹文詔、楊嘉謨、王承恩、楊麟、賀虎臣各督邊軍協討，總督洪承疇尤善調度。
HCH_012_260_000298	賊魁多殲，余盡走山西，關中稍靖。
HCH_012_260_000299	六年冬，賊既從澠池渡，入盧氏。
