HCH_015_027_000225	瞻兄寬，宋世與瞻竝為方伯，至是瞻雖坐事，而寬位待如舊也。
HCH_015_027_000226	寬泰始初為隨郡，值西方反，父玄謨在都，寬棄郡歸，明帝加賞，使隨張永討薛安都。
HCH_015_027_000227	寬辭以母猶存，在西為賊所執，請得西行。
HCH_015_027_000228	遂襲破隨郡，斬偽太守劉師念，拔其母。
HCH_015_027_000229	事平，明帝嘉之，使圖畫寬形。
HCH_015_027_000230	建元初，為散騎常侍、光祿大夫，領前軍將軍。
HCH_015_027_000231	永明元年，為太常。
HCH_015_027_000232	坐於宅殺牛，免官。
HCH_015_027_000233	後為光祿大夫。
HCH_015_027_000234	三年，卒。
HCH_015_027_000235	玄載弟玄邈，字彥遠。
HCH_015_027_000236	初為驃騎行軍參軍，太子左積弩將軍，射聲校尉。
HCH_015_027_000237	泰始初，遷輔國將軍、清河廣川二郡太守，幽州刺史。
HCH_015_027_000238	青州刺史沈文秀反，玄邈欲向朝廷，慮見掩襲，乃詣文秀求安軍頓。
HCH_015_027_000239	文秀令頓城外。
HCH_015_027_000240	玄邈卽立營壘，至夜拔軍南奔赴義。
HCH_015_027_000241	比曉，文秀追不復及。
HCH_015_027_000242	明帝以為持節、都督青州、青州刺史，將軍如故。
HCH_015_027_000243	太祖鎮淮陰，為帝所疑，遣書結玄邈。
HCH_015_027_000244	玄邈長史房叔安勸玄邈不相答和。
HCH_015_027_000245	罷州還，太祖以經途令人要之，玄邈雖許，旣而嚴軍直過，還都啟帝，稱太祖有異謀，太祖不恨也。
HCH_015_027_000246	昇明中，太祖引為驃騎司馬、冠軍將軍、太山太守，玄邈甚懼，而太祖待之如初。
HCH_015_027_000247	遷散騎常侍、驍騎將軍，冠軍如故。
HCH_015_027_000248	出為持節、都督梁南秦二州軍事、征虜將軍、西戎校尉、梁南秦二州刺史，兄弟同時為方伯。
HCH_015_027_000249	封河陽縣侯。
HCH_015_027_000250	建元元年，進號右將軍，侯如故。
HCH_015_027_000251	亡命李烏奴作亂梁部，陷白馬戍。
HCH_015_027_000252	玄邈率東從七八百人討之，不克，慮不自保，乃使人偽降烏奴，告之曰：「王使君兵衆羸弱，棄伎妾於城內，攜愛妾二人去已數日矣。」
HCH_015_027_000253	烏奴喜，輕兵襲州城，玄邈設伏擊破之，烏奴挺身走。
HCH_015_027_000254	太祖聞之，曰：「玄邈果不負吾意遇也。」
HCH_015_027_000255	還為征虜將軍、長沙王後軍司馬、南東海太守。
HCH_015_027_000256	遷都官尚書。
HCH_015_027_000257	世祖卽位，轉右將軍、豫章王太尉司馬，出為冠軍將軍、臨川內史，秩中二千石。
HCH_015_027_000258	還為前軍司徒司馬、散騎常侍、太子右率。
HCH_015_027_000259	永明七年，為持節、都督兖州緣淮軍事、平北將軍、兖州刺史，未之任，轉大司馬，加后將軍。
HCH_015_027_000260	八年，轉太常，遷散騎常侍、右衛將軍，出為持節、監徐州軍事、平北將軍、徐州刺史。
HCH_015_027_000261	十一年，建康蓮華寺道人釋法智與州民周盤龍等作亂，四百人夜攻州城西門，登梯上城，射殺城局參軍唐潁，遂入城內。
HCH_015_027_000262	軍主耿虎、徐思慶、董文定等拒戰，至曉，玄邈率百餘人登城便門，奮擊，生擒法智、盤龍等。
HCH_015_027_000263	玄邈坐免官。
HCH_015_027_000264	鬱林卽位，授撫軍將軍，遷使持節、安西將軍、歷陽南譙二郡太守。
HCH_015_027_000265	延興元年，加散騎常侍，尋轉中護軍。
HCH_015_027_000266	高宗使玄邈往江州殺晉安王子懋，玄邈苦辭不行，及遣王廣之往廣陵取安陸王子敬，玄邈不得已奉旨。
