HCH_012_231_000348	南京禮部郎中馬應圖，泰來同邑，又同年生也，十三年，上疏譏切執政，又力詆給事中齊世臣，御史龔懋賢、蔡系周、孫愈賢、吳定，而盛稱吳中行、趙用賢、沈思孝、李植諸人。
HCH_012_231_000349	忤旨，謫大同典史。
HCH_012_231_000350	給事中王致祥、御史柴祥等希執政意，復連章劾應圖，且言泰來為點定奏章。
HCH_012_231_000351	帝以應圖既貶不問。
HCH_012_231_000352	泰來引疾歸。
HCH_012_231_000353	久之，起禮部主事，進員外郎。
HCH_012_231_000354	疏請建儲，不報。
HCH_012_231_000355	逾年遂卒，年三十六。
HCH_012_231_000356	天啟中，孔兼、泰來俱贈光祿少卿。
HCH_012_231_000357	於氏為金壇望族。
