HCH_012_047_000290	社稷，黑；大明，赤；夜明、星辰、太歲、風雲雷雨、天下神祇俱白；五星，五色；嶽鎮、四海、陵山隨方色；四瀆，黑；先農，正配皆青；羣神，白；帝王先師皆白；旗纛，洪武元年用黑，七年改赤，九年定黑二、白五。
HCH_012_047_000291	曰奉先制帛，太廟用之，每廟二。
HCH_012_047_000292	曰展親制帛，親王配享用之。
HCH_012_047_000293	曰報功制帛，功臣配享用之。
HCH_012_047_000294	皆白。
HCH_012_047_000295	每位各一。
HCH_012_047_000296	惟圜丘，嘉靖九年用十二，而周天星辰則共用十，孔廟十哲、兩廡東西各一云。
HCH_012_047_000297	又洪武十一年，上以小祀有用楮錢者爲不經。
HCH_012_047_000298	禮臣議定，在京，大祀、中祀用制帛，有篚。
HCH_012_047_000299	在外，王國府州縣亦如之。
HCH_012_047_000300	小祀惟用牲醴。
HCH_012_047_000301	牲牢三等：曰犢，曰羊，曰豕。
HCH_012_047_000302	色尚騂，或黝。
HCH_012_047_000303	大祀，入滌九旬；中祀，三旬；小祀，一旬。
HCH_012_047_000304	大祀前一月之朔，躬詣犧牲所視牲，每日大臣一人往視。
HCH_012_047_000305	洪武二年，帝以祭祀省牲，去神壇甚邇，於人心未安，乃定省牲之儀，去神壇二百步。
HCH_012_047_000306	七年定制，大祀，皇帝躬省牲；中祀、小祀，遣官。
HCH_012_047_000307	嘉靖十一年更定，冬、夏至，祈谷，俱祭前五日親視，後俱遣大臣。
HCH_012_047_000308	圜丘，蒼犢；方丘，黃犢；配位，各純犢。
HCH_012_047_000309	洪武七年，增設圜丘配位。
HCH_012_047_000310	星辰，牛一，羊豕三。
HCH_012_047_000311	太歲，牛羊豕一。
HCH_012_047_000312	風雲雷雨、天下神祇，羊豕各五。
HCH_012_047_000313	方丘配位，天下山川，牛一，羊豕各三。
HCH_012_047_000314	太廟禘，正配皆太牢，祫皆太牢。
HCH_012_047_000315	時享每廟犢羊豕各一。
HCH_012_047_000316	親王配位，洪武三年定，共牛羊豕一。
