HCH_012_235_000340	西陲失事，德完言：「諸邊歲糜餉數百萬，而士氣日衰，戎備日廢者，以三蠹未除，二策未審也。何為三蠹？一曰欺，邊吏罔上也。二曰徇，市賞增額也。三曰虛，邊防鮮實也。何謂二策？有目前之策，有經久之策。謹守誓盟，茍免搏噬，此計在目前。大修戰具，令賊不敢窺邊，則百年可保無事，此計在經久。今經略鄭洛主款，巡撫葉夢熊又言戰，邊臣不協，安望成功。」
HCH_012_235_000341	帝為飭二臣。
HCH_012_235_000342	石星為本兵，德完上十議以規時，帝納之。
HCH_012_235_000343	已，請裁李成梁父子權，劾褫黔國公沐昌祚冠服，罷巡撫朱孟震、賈待問、郭四維、少卿楊四知、趙卿。
HCH_012_235_000344	又發廣東總督劉繼文、總兵官李棟等冒功罪。
HCH_012_235_000345	半歲章數十上，率軍國大計。
HCH_012_235_000346	累遷戶科都給事中。
HCH_012_235_000347	上籌畫邊餉議，言：「諸邊歲例，弘、正間止四十三萬，至嘉靖則二百七十餘萬，而今則三百八十餘萬。惟力行節儉，足以補救。蓋耗蠹之弊，外易剔而內難除。宜嚴劾內府諸庫，汰其不急。又加意屯田、鹽法，外開其源，而內節其流，庶幾國用可足。」
HCH_012_235_000348	時弗能用。
HCH_012_235_000349	倭寇久躪朝鮮，再議封貢。
HCH_012_235_000350	德完言：「封則必貢，貢則必市，是沈惟敬誤經略，經略誤總督，總督誤本兵，本兵誤朝廷也。」
HCH_012_235_000351	後封果不成。
HCH_012_235_000352	德完尋以疾歸。
HCH_012_235_000353	二十八年，起任工科。
HCH_012_235_000354	極陳四川采木、榷稅及播州用兵之患。
HCH_012_235_000355	又言三殿未營，不宜復興玄殿、龍舟之役。
HCH_012_235_000356	皆不報。
HCH_012_235_000357	已，劾湖廣稅使陳奉四大罪。
HCH_012_235_000358	再疏極論，謂奉必激變。
HCH_012_235_000359	奉果為楚人所攻，僅以身免。
