HCH_012_041_000000	山東《禹貢》青、兗二州地。
HCH_012_041_000340	又西南有泇水，亦曰東泇水，下流合嶧縣之西泇水入運。
HCH_012_041_000341	西南有羅藤鎮巡檢司。
HCH_012_041_000342	西距府五百六十里。
HCH_012_041_000343	領縣二：郯城州東南。
HCH_012_041_000344	洪武初置。
HCH_012_041_000345	東有馬陵山，又有羽山，與南直贛榆縣界。
HCH_012_041_000346	又沭水在東。
HCH_012_041_000347	沂水在西。
HCH_012_041_000348	西有磨山鎮巡檢司，後廢。
HCH_012_041_000349	費州西北。
HCH_012_041_000350	西北有蒙山。
HCH_012_041_000351	西南有大沫涸，又有祊水，東北有蒙陽水，下流俱入於沂河。
HCH_012_041_000352	西南有關陽鎮、西北有毛陽鎮二巡檢司。
HCH_012_041_000353	東昌府元東昌路，直隸中書省。
HCH_012_041_000354	洪武初爲府。
HCH_012_041_000355	領州三，縣十五。
HCH_012_041_000356	東距布政司二百九十里。
HCH_012_041_000357	聊城倚。
HCH_012_041_000358	城東有會通河。
HCH_012_041_000359	西南有武水枯河，即漯河也，爲會通河所截，中堙。
HCH_012_041_000360	堂邑府西。
HCH_012_041_000361	東北有會通河。
HCH_012_041_000362	西有舊黃河。
HCH_012_041_000363	博平府東北。
HCH_012_041_000364	洪武三年三月省，尋復置。
HCH_012_041_000365	西南有會通河。
HCH_012_041_000366	東北有故黃河。
HCH_012_041_000367	茌平府東北。
HCH_012_041_000368	西有故黃河。
HCH_012_041_000369	又西北有故馬頰河。
HCH_012_041_000370	莘府西南。
HCH_012_041_000371	北有弇山，舊有泉涌出，曰弇山泉。
HCH_012_041_000372	清平府北。
HCH_012_041_000373	元屬德州。
HCH_012_041_000374	洪武元年屬恩州。
HCH_012_041_000375	二年七月屬高唐州。
HCH_012_041_000376	三年三月省，尋復置，改屬。
HCH_012_041_000377	西有會通河。
HCH_012_041_000378	西南有魏家灣巡檢司。
HCH_012_041_000379	冠府西南。
HCH_012_041_000380	元冠州，直隸中書省。
HCH_012_041_000381	洪武三年降爲縣，來屬。
HCH_012_041_000382	西北有衛河。
HCH_012_041_000383	又東有賈鎮堡，東北有清水鎮堡，俱嘉靖二十二年築。
HCH_012_041_000384	臨清州元臨清縣，屬濮州。
HCH_012_041_000385	洪武二年七月改屬。
HCH_012_041_000386	弘治二年升爲州。
HCH_012_041_000387	舊治在南，洪武二年徙治臨清閘。
HCH_012_041_000388	景泰元年又於閘東北三里築城，徙治焉。
HCH_012_041_000389	會通河在城南，有衛河自西來會，至天津直沽入海，爲北運河。
HCH_012_041_000390	東南距府百二十里。
HCH_012_041_000391	領縣二：丘州西。
HCH_012_041_000392	元直隸東昌路。
HCH_012_041_000393	弘治二年改屬州。
HCH_012_041_000394	東南有衛河，又有漳河。
HCH_012_041_000395	館陶州西南。
HCH_012_041_000396	元屬濮州。
HCH_012_041_000397	洪武二年七月屬東昌府，三年三月省，尋復置，仍屬東昌府。
HCH_012_041_000398	弘治二年改屬州。
HCH_012_041_000399	西有衛河，自元城縣流入。
HCH_012_041_000400	又西南有漳河。
HCH_012_041_000401	又西南有南館陶鎮巡檢司。
HCH_012_041_000402	高唐州元直隸中書省。
HCH_012_041_000403	洪武初，以州治高唐縣省入，來屬。
HCH_012_041_000404	西有漯河，溢涸無常。
HCH_012_041_000405	又有馬頰河，一名舊黃河。
HCH_012_041_000406	西南距府百二十里。
HCH_012_041_000407	領縣三：恩州北。
HCH_012_041_000408	元恩州，直隸中書省。
HCH_012_041_000409	洪武二年降爲縣，來屬。
HCH_012_041_000410	西有故城。
HCH_012_041_000411	今治本許官店，洪武七年七月徙於此。
HCH_012_041_000412	西北有衛河。
HCH_012_041_000413	東南有馬頰枯河。
HCH_012_041_000414	又高雞泊亦在縣西北。
HCH_012_041_000415	夏津州西。
HCH_012_041_000416	洪武三年三月省，尋復置。
HCH_012_041_000417	西南有衛河。
HCH_012_041_000418	又東有馬頰故河。
HCH_012_041_000419	又西有裴家圈巡檢司。
HCH_012_041_000420	武城州西北。
HCH_012_041_000421	西有衛河。
HCH_012_041_000422	東南有沙河。
HCH_012_041_000423	東北有甲馬營巡檢司。
HCH_012_041_000424	濮州元直隸中書省。
HCH_012_041_000425	洪武二年以州治鄄城縣省入，來屬。
HCH_012_041_000426	故城在東，景泰三年以河患遷於王村，即今治也。
HCH_012_041_000427	東南有故黃河，永樂中，河流由此入會通河，後堙。
HCH_012_041_000428	又西南有濮水，一名洪河。
