HCH_012_167_000282	帝眷彬甚，奏請無不從。
HCH_012_167_000283	內閣商輅既罷，彬乞得其居第。
HCH_012_167_000284	既又以湫隘，乞官為別建，帝亦報從。
HCH_012_167_000285	彬娶妻，命外戚孫顯宗主之，賜予優渥。
HCH_012_167_000286	時召入曲宴，敘患難時事，歡洽如故時。
HCH_012_167_000287	其年十二月進指揮使，與都指揮僉事王喜同掌衛事。
HCH_012_167_000288	二人嘗受中官夏時囑，私遣百戶季福偵事江西。
HCH_012_167_000289	福者，帝乳媼夫也。
HCH_012_167_000290	詔問誰所遣，二人請罪。
HCH_012_167_000291	帝曰：「此必有主使者。」
HCH_012_167_000292	遂下福吏，得二人受囑狀。
HCH_012_167_000293	所司請治時及二人罪。
HCH_012_167_000294	帝宥時，二人贖徒還職，而詔自今受囑遣官者，必殺無赦。
HCH_012_167_000295	已而坐失囚，喜解職，彬遂掌衛事。
HCH_012_167_000296	五年秋，以平曹欽功，進都指揮僉事。
HCH_012_167_000297	時門達恃帝寵，勢傾朝野。
HCH_012_167_000298	廷臣多下之，彬獨不為屈。
HCH_012_167_000299	達誣以罪，請逮治。
HCH_012_167_000300	帝欲法行，語之曰：「任汝往治，但以活袁彬還我。」
HCH_012_167_000301	達遂鍛煉成獄。
HCH_012_167_000302	賴漆工楊塤訟冤，獄得解。
HCH_012_167_000303	然猶調南京錦衣衛，帶俸閑住。
HCH_012_167_000304	語詳《達傳》。
HCH_012_167_000305	越二月，英宗崩，達得罪，貶官都勻。
HCH_012_167_000306	召彬復原職，仍掌衛事。
HCH_012_167_000307	未幾，達征下獄，充軍南丹。
HCH_012_167_000308	彬餞之於郊，饋以贐。
HCH_012_167_000309	成化初，進都指揮同知。
HCH_012_167_000310	久之，進都指揮使。
HCH_012_167_000311	先是，掌錦衣衛者，率張權勢，罔財賄。
HCH_012_167_000312	彬任職久，行事安靜。
HCH_012_167_000313	十三年擢都督僉事，蒞前軍都督府。
HCH_012_167_000314	卒於官。
HCH_012_167_000315	世襲錦衣僉事。
HCH_012_167_000316	哈銘從帝還，賜姓名楊銘，歷官錦衣指揮使，數奉使外蕃為通事。
HCH_012_167_000317	孝宗嗣位，汰傳奉官，銘以塞外侍衛功，獨如故。
HCH_012_167_000318	以壽卒於官。
HCH_012_167_000319	袁敏者，金齒衛知事也。
HCH_012_167_000320	英宗北征，應募從至大同。
HCH_012_167_000321	及駕還，駐萬全左衛。
HCH_012_167_000322	敏見敵騎逼，請留精兵三四萬人扼其沖，而車駕疾驅入關。
HCH_012_167_000323	王振不納，六師遂覆。
HCH_012_167_000324	敏跳還，上書景帝曰：「上皇曩居九重，所服者袞繡，所食者珍羞，所居者瓊宮瑤室。今駕陷沙漠，服有袞繡乎？食有珍羞乎？居有宮室乎？臣聞之，主辱臣死。上皇辱至此，臣子何以為心，臣不惜碎首刳心。乞遣官一人，或就令臣賫書及服御物問安塞外，以盡臣子之義。臣雖萬死，心實甘之。」
HCH_012_167_000325	命禮部議，竟報寢。
HCH_012_167_000326	贊曰：異哉，土木之敗也。
HCH_012_167_000327	寇非深入之師，國非積弱之勢，徒以宦豎竊柄，狎寇弄兵，逆眾心而驅之死地，遂致六師撓敗，乘輿播遷，大臣百官身膏草野。
HCH_012_167_000328	夫始之不能制其不出，出不能使之早旋，枕藉疆場，無益於敗。
HCH_012_167_000329	然值倉皇奔潰之時，主辱臣死，誌異偷生，亦可無譏於傷勇矣。
