HCH_009_011_000244	壬申，幸天長觀。
HCH_009_011_000245	癸酉，如萬甯宮。
HCH_009_011_000246	乙亥，宋遣使來報謝。
HCH_009_011_000247	丁丑，更定鎮防千戶謀克放老入除格。
HCH_009_011_000248	辛巳，敕官司、私文字避始祖以下廟諱小字，犯者論如律。
HCH_009_011_000249	夏四月甲辰，詔諭契丹人戶，累經簽軍立功者，官賞恩例與女直人同，仍許養馬、為吏。
HCH_009_011_000250	五月甲寅，擊球于臨武殿，令都民縱觀。
HCH_009_011_000251	丙辰，樞密使宗浩罷。
HCH_009_011_000252	壬戌，幸玉泉山。
HCH_009_011_000253	戊寅，削尊長有罪卑幼追捕律。
HCH_009_011_000254	以直東上閣門劉頍為橫賜高麗使。
HCH_009_011_000255	六月己卯，幸香山。
HCH_009_011_000256	乙酉，平章政事張萬公乞致仕。
HCH_009_011_000257	不許。
HCH_009_011_000258	辛卯，祈雨於北郊。
HCH_009_011_000259	己亥，用尚書省言，申明舊制，猛安謀克戶每田四十畝，樹桑一畝。
HCH_009_011_000260	毀樹木者有禁，鬻地土者有刑。
HCH_009_011_000261	其田多汙萊，人戶闕乏，並坐所臨長吏。
HCH_009_011_000262	按察司以時勸督，有故慢者量決罰之，仍減牛頭稅三之一。
HCH_009_011_000263	敕尚書省舉行風俗奢僭之禁。
HCH_009_011_000264	乙巳，初許諸科征鋪馬、黃河夫、軍須等錢，折納銀一半，願納錢鈔者聽。
HCH_009_011_000265	丁未，詔有司修蓮花漏。
HCH_009_011_000266	七月辛酉，禁放良人不得應諸科舉，子孫不在禁限。
HCH_009_011_000267	甲子，諭刑部官，凡上書人言及宰相者不得申省。
HCH_009_011_000268	乙丑，更定右選注縣令丞簿格。
HCH_009_011_000269	己巳，初禁廟諱同音字。
HCH_009_011_000270	八月庚辰，初命戶絕者田宅以三分之一付其女及女孫。
HCH_009_011_000271	戊子，特改授司空襄河間府路算注海世襲猛安。
HCH_009_011_000272	乙未，至自萬甯宮。
HCH_009_011_000273	丙申，宋遣使來報謝。
HCH_009_011_000274	壬寅，制猛安謀克並隸按察司，監察御史止按部糾舉，有罪則並坐監臨之官。
HCH_009_011_000275	詔推排西、北京、遼東三路人戶物力。
HCH_009_011_000276	九月戊申朔，天壽節，宋、高麗、夏遣使來賀。
HCH_009_011_000277	更定贍學養士法：生員，給民佃官田人六十畝，歲支粟三十石；國子生，人百八畝，歲給以所入，官為掌其數。
HCH_009_011_000278	以右宣徽使徒單懷忠等為賀宋生日使。
HCH_009_011_000279	甲寅，如秋山。
HCH_009_011_000280	丙子，至自秋山。
HCH_009_011_000281	冬十月乙酉，祫享於太廟。
HCH_009_011_000282	戊子，平章政事張萬公乞致仕，不許。
HCH_009_011_000283	壬辰，御史台奏：「在制，按察司官比任終遣官考核，然後尚書省命官覆察之。今監察御史添設員多，宜分路巡行，每路女直、漢人各一人同往。」
HCH_009_011_000284	從之，仍敕分四路。
HCH_009_011_000285	丙申，御史大夫卞乞致仕，不許。
HCH_009_011_000286	戊戌，以武衛軍都揮指使司判官納合鉉為高麗生日使。
