HCH_012_189_000173	臣願廣開言路，勿罪其出位，勿責其沽名，將忠言日進，聰明日廣，亂臣賊子亦有所畏而不敢肆矣。
HCH_012_189_000174	三，正名號。
HCH_012_189_000175	陛下無故降稱大將軍、太師、鎮國公，遠近傳聞，莫不驚歎。
HCH_012_189_000176	如此，則誰為天子者？
HCH_012_189_000177	天下不以天子事陛下，而以將軍事陛下，天下皆為將軍之臣矣。
HCH_012_189_000178	今不削去諸名號，昭上下之分，則體統不正，朝廷不尊。
HCH_012_189_000179	古之天子亦有號稱「獨夫」，求為匹夫而不得者，竊為陛下懼焉。
HCH_012_189_000180	四，戒遊幸。
HCH_012_189_000181	陛下始時遊戲，不出大庭，馳逐止于南內，論者猶謂不可。
HCH_012_189_000182	既而幸宣府矣，幸大同矣，幸太原、榆林矣。
HCH_012_189_000183	所至費財動眾，郡縣騷然，至使民間夫婦不相保。
HCH_012_189_000184	陛下為民父母，何忍使至此極也？
HCH_012_189_000185	近復有南巡之命。
HCH_012_189_000186	南方之民爭先挈妻子避去，流離奔踣，怨讟煩興。
HCH_012_189_000187	今江、淮大饑，父子兄弟相食。
HCH_012_189_000188	天時人事如此，陛下又重蹙之，幾何不流為盜賊也。
HCH_012_189_000189	奸雄窺伺，侍時而發。
HCH_012_189_000190	變生在內，則欲歸無路；變生在外，則望救無及。
HCH_012_189_000191	陛下斯時，悔之晚矣。
HCH_012_189_000192	彼居位大臣，用事中官，親昵群小，夫豈有毫髮愛陛下之心哉？
HCH_012_189_000193	皆欲陛下遠出，而後得以擅權自恣，乘機為利也。
HCH_012_189_000194	其不然，則亦袖手旁觀，如秦、越人不相休戚也。
HCH_012_189_000195	陛下宜翻然悔悟，下哀痛罪己之詔。
HCH_012_189_000196	罷南巡，撤宣府離宮，示不復出。
HCH_012_189_000197	發內帑以振江、淮，散邊軍以歸卒伍。
HCH_012_189_000198	雪已往之謬舉，收既失之人心。
HCH_012_189_000199	如是，則尚可為也。
HCH_012_189_000200	五，去小人。
HCH_012_189_000201	自古未有小人用事不亡國喪身者也。
HCH_012_189_000202	今之小人簸弄威權、貪溺富貴者，實繁有徒。
HCH_012_189_000203	至於首開邊事，以兵為戲，使陛下勞天下之力，竭四海之財，傷百姓之心者，則江彬之為也。
HCH_012_189_000204	彬，行伍庸流，兇狠傲誕，無人臣禮。
HCH_012_189_000205	臣但見其有可誅之罪，不聞其有可賞之功。
HCH_012_189_000206	今乃賜以國姓，封以伯爵，托以心腹，付以京營重寄。
HCH_012_189_000207	使其外持兵柄，內蓄逆謀，以成騎虎之勢，此必亂之道也。
HCH_012_189_000208	天下切齒怒駡，皆欲食彬之肉。
HCH_012_189_000209	陛下亦何惜一彬，不以謝天下哉！
HCH_012_189_000210	六，建儲貳。
HCH_012_189_000211	陛下春秋漸高，前星未耀，祖宗社稷之托搖搖無所寄。
HCH_012_189_000212	方且遠事觀遊，屢犯不測；收養義子，佈滿左右。
HCH_012_189_000213	獨不能豫建親賢以承大業，臣以為陛下殆倒置也。
