HCH_012_139_000230	居郡時，因星變求言，疏言：「風憲官以激濁揚清為職。今不聞旌廉拔能，專務羅織人罪，多征贓罰，此大患也。朝廷賞罰明信，乃能勸懲。去年各行省官吏以用空印罹重罪，而河南參政安然、山東參政朱芾俱有空印，反遷布政使，何以示勸懲？」
HCH_012_139_000231	帝問羅織及多征贓罰者為誰，徵指河南僉事彭京以對。
HCH_012_139_000232	貶沁陽驛丞。
HCH_012_139_000233	十三年，以事逮至京，卒。
HCH_012_139_000234	周敬心，山東人，太學生也。
HCH_012_139_000235	洪武二十五年，詔求曉曆數者，敬心上疏極諫，且及時政數事。
HCH_012_139_000236	略曰：言皆激切。
HCH_012_139_000237	報聞。
HCH_012_139_000238	王樸，同州人。
HCH_012_139_000239	洪武十八年進士。
HCH_012_139_000240	本名權，帝為改焉。
HCH_012_139_000241	除吏科給事中，以直諫忤旨罷。
HCH_012_139_000242	旋起御史。
HCH_012_139_000243	陳時事千餘言。
HCH_012_139_000244	性鯁直，數與帝辨是非，不肯屈。
HCH_012_139_000245	一日，遇事爭之強。
HCH_012_139_000246	帝怒，命戮之。
HCH_012_139_000247	及市，召還，諭之曰：「汝其改乎？」
HCH_012_139_000248	樸對曰：「陛下不以臣為不肖，擢官御史，奈何摧辱至此！使臣無罪，安得戮之？有罪，又安用生之？臣今日願速死耳。」
HCH_012_139_000249	帝大怒，趣命行刑。
HCH_012_139_000250	過史館，大呼曰：「學士劉三吾誌之：某年月日，皇帝殺無罪御史樸也！」
HCH_012_139_000251	竟戮死。
HCH_012_139_000252	帝撰《大誥》，謂樸誹謗，猶列其名。
HCH_012_139_000253	有張衡者，萬安人，樸同年進士。
HCH_012_139_000254	授禮科給事中。
HCH_012_139_000255	奏疏剴切。
HCH_012_139_000256	擢禮部侍郎。
HCH_012_139_000257	以清慎見褒，載於《大誥》。
HCH_012_139_000258	後亦以言事坐死。
HCH_012_139_000259	贊曰：太祖英武威斷，廷臣奏對，往往失辭。
HCH_012_139_000260	而錢唐、韓宜可、李仕魯輩，抱其樸誠，力諍於堂陛間，可謂古之遺直矣。
HCH_012_139_000261	伯巨、敬心以縫掖諸生，言天下至計，雖違於信而後諫之義，然原厥本心，由於忠愛。
HCH_012_139_000262	以視末季沽名賣直之流，有不可同日而語者也。
