HCH_009_016_000330	十二月乙亥朔，上謂皇太子曰：「吾嘗夜思天下事，必索燭以記，明而即行，汝亦當然。」
HCH_009_016_000331	以河中治中侯小叔權元帥府右都監，許便宜行事。
HCH_009_016_000332	乙酉，遷同知平陽府事史詠龍虎衛上將軍，賜號「守節忠臣」，權行平陽公府事。
HCH_009_016_000333	丁亥，疊州總管青宜可卒，特命其子角襲職。
HCH_009_016_000334	詔諭近侍局曰：「奉御、奉職皆少年，不知書。朕憶曩時置說書人，日為講論自古君臣父子之教，使知所以事上者，其復置。」
HCH_009_016_000335	己丑，蘭州提控唐括昉敗夏人於質孤堡。
HCH_009_016_000336	大元以大軍攻鳳翔。
HCH_009_016_000337	二年春正月甲辰朔，詔免朝賀。
HCH_009_016_000338	乙巳，世宗忌日，謁奠于啟慶宮。
HCH_009_016_000339	右丞相汝礪乞致政，上面諭使留。
HCH_009_016_000340	大元兵下河中府，權元帥右都監侯小叔復之。
HCH_009_016_000341	壬子，壽州防禦使完顏乃剌奪官四階。
HCH_009_016_000342	甲寅，上諭宰臣曰：「向有人言便宜事，卿等屢奏乞作中旨行之。帝王從諫足矣，豈可掠人之美以為己出哉！」
HCH_009_016_000343	戊午，四方館瘸驢以罪罷，宰臣請以散地羈縻之，上曰：「此輩豪傑，正須誠待，若以術制，適使自疑。但不畀軍政，外補何害？」
HCH_009_016_000344	授瘸驢恆州刺史。
HCH_009_016_000345	又謂：「鬻爵恩例有丁憂官得起復者，是教人以不孝也，何為著此令哉？」
HCH_009_016_000346	丁卯，大元兵復下河中府。
HCH_009_016_000347	二月甲戌朔，皇后生辰，詔免賀禮。
HCH_009_016_000348	己卯，丞相汝礪朝會，免拜，設榻殿下，久立賜休。
HCH_009_016_000349	壬午，詔「軍官犯罪，舊制更不可任用，今多故之秋，人才難得，朕欲除大罪外，徒刑追配有武藝善掌兵者，量才復用。其令尚書省議以聞」。
HCH_009_016_000350	丁亥，大赦。
