HCH_012_079_000283	凡府州縣稅課司局、河泊所，歲課、商稅、魚課、引由、契本諸課程，太祖令所司解州縣府司，以至於部，部劄之庫，其元封識，不擅發也。
HCH_012_079_000284	至永樂時，始委驗勘，中，方起解；至部復驗，同，乃進納。
HCH_012_079_000285	嘉靖時，建驗試廳，驗中，給進狀寄庫。
HCH_012_079_000286	月逢九，會巡視庫藏科道官，進庫驗收，不堪者駁易。
HCH_012_079_000287	正統十年設通濟庫於通州。
HCH_012_079_000288	世宗時罷。
HCH_012_079_000289	隆慶初，密雲、薊州、昌平諸鎮皆設庫，收貯主客年例、軍門公費及撫賞、修邊銀云。
HCH_012_079_000290	凡為倉庫害者，莫如中官。
HCH_012_079_000291	內府諸庫監收者，橫索無厭。
HCH_012_079_000292	正德時，台州衛指揮陳良納軍器，稽留八載，至乞食於市。
HCH_012_079_000293	內府收糧，增耗嘗以數倍為率，其患如此。
HCH_012_079_000294	諸倉初不設中官，宣德末，京、通二倉始置總督中官一人，後淮、徐、臨、德諸倉亦置監督，漕輓軍民被其害。
HCH_012_079_000295	世宗用孫交、張孚敬議，撤革諸中官，惟督諸倉者如故。
HCH_012_079_000296	久之，從給事中管懷理言，乃罷之。
HCH_012_079_000297	初，天下府庫各有存積，邊餉不借支於內，京師不收括於外。
HCH_012_079_000298	成化時，巡鹽御史楊澄始請發各鹽運提舉司贓罰銀入京庫。
HCH_012_079_000299	弘治時，給事中曾昂請以諸布政司公帑積貯徵徭羨銀，盡輸太倉。
HCH_012_079_000300	尚書周經力爭之，以為有不足者，以識造、賞賚、齋醮、土木之故，必欲盡括天下財，非藏富於民意也。
HCH_012_079_000301	至劉瑾用事，遂令各省庫藏盡輸京師。
HCH_012_079_000302	世宗時，閩、廣進羨餘，戶部請責他省巡按，歲一奏獻如例。
HCH_012_079_000303	又乙太倉庫匱，運南戶部庫銀八十萬兩實之。
HCH_012_079_000304	而戶部條上理財事宜，臨、德二倉積銀二十萬兩，錄以歸太倉。
HCH_012_079_000305	隆慶初，遣四御史分行天下，蒐括庫銀。
HCH_012_079_000306	神宗時，御史蕭重望請核府縣歲額銀進部，未報上。
HCH_012_079_000307	千戶何其賢乞敕內官與己督之，帝竟從其請，由是外儲日就耗。
HCH_012_079_000308	至天啟中，用操江巡撫範濟世策，下敕督歲進，收括靡有遺矣。
HCH_012_079_000309	南京內庫頗藏金銀珍寶，魏忠賢矯旨取進，盜竊一空。
HCH_012_079_000310	內外匱竭，遂至於亡。
