HCH_012_116_000292	鎮國中尉睦㮮，字灌甫，鎮平王諸孫。
HCH_012_116_000293	父奉國將軍安河以孝行聞於朝，璽書旌賚。
HCH_012_116_000294	既沒，周王及宗室數百人請建祠。
HCH_012_116_000295	詔賜祠額曰「崇孝」。
HCH_012_116_000296	睦㮮幼端穎，郡人李夢陽奇之。
HCH_012_116_000297	及長，被服儒素，覃精經學，從河、洛間宿儒游。
HCH_012_116_000298	年二十通《五經》，尤邃於《易》、《春秋》。
HCH_012_116_000299	謂本朝經學一稟宋儒，古人經解殘闕放失，乃訪求海內通儒，繕寫藏棄，若李鼎詐《易解》、張洽《春秋傳》，皆敘而傳之。
HCH_012_116_000300	呂柟嘗與論《易》，歎服而去。
HCH_012_116_000301	益訪購古書圖籍，得江都葛氏、章丘李氏書萬卷，丹鉛歷然，論者以方漢之劉向。
HCH_012_116_000302	築室東坡，延招學者，通懷好士，而內行修潔。
HCH_012_116_000303	事親晨昏不離側，喪三年居外捨。
HCH_012_116_000304	有弟五人，親為教督，盡推遺產與之。
HCH_012_116_000305	萬歷五年舉文行卓異，為周籓宗正，領宗學。
HCH_012_116_000306	約宗生以三、六、九日午前講《易》、《詩》、《書》，午後講《春秋》、《禮記》，雖盛寒暑不輟。
HCH_012_116_000307	所撰有《五經稽疑》六卷，《授經圖傳》四卷，《韻譜》五卷，又作《明帝世表》、《周國世系表》、《建文遜國褒忠錄》、《河南通志》、《開封郡志》諸書。
HCH_012_116_000308	巡撫御史褚鈇議稍減郡王以下歲祿，均給貧宗，帝遣給事中萬象春就周王議。
HCH_012_116_000309	新會王睦樒號於眾曰：「裁祿之謀起於睦㮮。」
HCH_012_116_000310	聚宗室千餘人擊之，裂其衣冠，上書抗詔。
HCH_012_116_000311	帝怒，廢睦樒為庶人。
HCH_012_116_000312	睦㮮屢疏引疾乞休，詔勉起之。
HCH_012_116_000313	又三年卒，年七十。
HCH_012_116_000314	宗人頌功德者五百人，詔賜輔國將軍，禮葬之，異數也。
HCH_012_116_000315	學者稱為西亭先生。
HCH_012_116_000316	時有將軍安𣵿者，一歲喪母，事其父以孝聞。
HCH_012_116_000317	父病革，刲臂為湯飲父，父良已。
HCH_012_116_000318	年七十，追念母不逮養，服衰廬墓三年，詔旌其門。
HCH_012_116_000319	素精名理，聲譽大著，人稱睦㮮為「大山」，安𣵿為「小山」云。
HCH_012_116_000320	又勤熨者，鎮國中尉也，嘉靖中，上書曰：「陛下躬上聖之資，不法古帝王兢業萬歲，擇政任人，乃溺意長生，屢修齋醮，興作頻仍。數年來朝儀久曠，委任非人，遂至賄賂公行，刑罰倒置，奔競成風，公私殫竭，脫有意外變，臣不知所終。」
HCH_012_116_000321	帝覽疏怒，坐誹謗，降庶人，幽鳳陽。
HCH_012_116_000322	子朝已賜名，以罪人子無敢為請封者，上書請釋父罪，且陳中興四事，詔並禁錮。
HCH_012_116_000323	穆宗登極，釋歸，命有司存恤。
HCH_012_116_000324	楚昭王楨，太祖第六子。
HCH_012_116_000325	始生時，平武昌報適至，太祖喜曰：「子長，以楚封之。」
HCH_012_116_000326	洪武三年封楚王。
HCH_012_116_000327	十四年就籓武昌。
HCH_012_116_000328	嘗錄《御注洪範》及《大寶箴》置座右。
HCH_012_116_000329	十八年四月，銅鼓、思州諸蠻亂，命楨與信國公湯和、江夏侯周德興帥師往討。
HCH_012_116_000330	和等分屯諸洞，立柵與蠻人雜耕作。
HCH_012_116_000331	久之，擒其渠魁，餘黨悉潰。
HCH_012_116_000332	三十年，古州蠻叛，帝命楨帥師，湘王柏為副，往征。
HCH_012_116_000333	楨請餉三十萬，又不親蒞軍。
HCH_012_116_000334	帝詰責之，命城銅鼓衛而還。
HCH_012_116_000335	是年，熒惑入太微，詔諭楨戒慎，楨書十事以自警。
HCH_012_116_000336	未幾，楨子巴陵王卒，帝復與敕曰：「舊歲熒惑入太微，太微天庭，居翼軫，楚分也。五星無故入，災必甚焉。爾子疾逝，恐災不止此，尚省慎以回天意。」
HCH_012_116_000337	至冬，王妃薨。
