HCH_012_296_000120	徐允讓，浙江山陰人。
HCH_012_296_000121	元末，賊起，奉父安走避山谷間。
HCH_012_296_000122	遇賊，欲斫安頸。
HCH_012_296_000123	允讓大呼曰：「寧殺我，勿殺我父！」
HCH_012_296_000124	賊遂舍安殺允讓。
HCH_012_296_000125	將辱其妻潘，潘紿曰：「吾夫已死，從汝必矣。若能焚吾夫，則無憾也。」
HCH_012_296_000126	賊許之，潘聚薪焚夫，投烈焰中死。
HCH_012_296_000127	賊驚嘆去，安獲全。
HCH_012_296_000128	洪武十六年，夫婦並旌。
HCH_012_296_000129	同時石永壽者，新昌人。
HCH_012_296_000130	負老父避賊，賊執其父將殺之，號泣請代，賊殺永壽而去。
HCH_012_296_000131	錢瑛，字可大，吉水人。
HCH_012_296_000132	生八月而孤，年十三能應秋試。
HCH_012_296_000133	及長，值元季亂，奉祖本和及母避難，歷五六年。
HCH_012_296_000134	遇賊，縛本和，瑛奔救，並縛之。
HCH_012_296_000135	本和哀告貰其孫，瑛泣請代不已，賊憐而兩釋之。
HCH_012_296_000136	時瑛母亦被執，瑛妻張從伏莽中窺見，即趨出，謂賊曰：「姑老矣，請縛我。」
HCH_012_296_000137	賊從之，既就縛，擲袖中鞋與姑，訣曰：「婦無用此矣。」
HCH_012_296_000138	且行且睨姑，稍遠即罵賊不肯行。
HCH_012_296_000139	賊持之急，罵益厲，賊怒，攢刃刺殺之。
HCH_012_296_000140	是定，有司知瑛賢，凡三薦，並以親老辭。
HCH_012_296_000141	子遂誌成進士，官山東僉事。
HCH_012_296_000142	同時曾鼎，字元友，泰和人。
HCH_012_296_000143	祖懷可、父思立，並有學行。
HCH_012_296_000144	元末，鼎奉母避賊。
HCH_012_296_000145	母被執，鼎跪而泣請代。
HCH_012_296_000146	賊怒，將殺母，鼎號呼以身翼蔽，傷頂肩及足，控母不舍。
HCH_012_296_000147	賊魁繼至，憫之，攜其母子入營療治，獲愈。
HCH_012_296_000148	行省聞其賢，辟為濂谿書院山長。
HCH_012_296_000149	洪武三年，知縣郝思讓辟教設學。
HCH_012_296_000150	鼎好學能詩，兼工八分及邵子數學。
HCH_012_296_000151	姚玭，松江人。
HCH_012_296_000152	元至正中，苗帥楊完者兵入境。
HCH_012_296_000153	比奉母避於野，阻河不可渡。
HCH_012_296_000154	母泣曰：「兵至，吾誓不受辱。」
HCH_012_296_000155	遂沈於水。
HCH_012_296_000156	玭急投水救之，負母而出。
HCH_012_296_000157	已，數遇盜，中矢，玭佯死伏屍間以免，以奉母過湖、淮。
HCH_012_296_000158	後母疾思食魚，暮夜無從得，家養一烏，忽飛去攫魚以歸。
HCH_012_296_000159	洪武初，行省聞其賢，辟之，以親老不就。
HCH_012_296_000160	丘鐸，字文振，祥符人。
HCH_012_296_000161	元末，父為湖廣儒學提舉。
HCH_012_296_000162	值兵亂，鐸奉父母播遷，賣藥供甘旨。
HCH_012_296_000163	母卒，哀慟幾絕。
HCH_012_296_000164	葬鳴鳳山，結廬墓側，朝夕上食如生時。
