HCH_009_129_000218	海陵領行台尚書省事，道過北京，謂裕曰：「我欲就河南兵建立位號，先定兩河，舉兵而北。君為我結諸猛安以應我。」
HCH_009_129_000219	定約而去。
HCH_009_129_000220	海陵雖自良鄉召還，不能如約，遂弑熙宗篡立，以裕為秘書監。
HCH_009_129_000221	海陵心忌太宗諸子，欲除之，與裕密謀。
HCH_009_129_000222	裕傾險巧詐，因構致太傅宗本、秉德等反狀，海陵殺宗本，唐括辯遣使殺秉德、宗懿及太宗子孫七十余人、秦王宗翰子孫三十餘人。
HCH_009_129_000223	宗本已死，裕乃求宗本門客蕭玉，教以具款反狀，令作主名上變。
HCH_009_129_000224	海陵既詔天下，天下冤之。
HCH_009_129_000225	海陵賞誅宗本功，以裕為尚書左丞，加儀同三司，授猛安，賜錢二千萬，馬四百匹、牛四百頭、羊四千口。
HCH_009_129_000226	再閱月，為平章政事、監修國史。
HCH_009_129_000227	舊制，首相監修國史，海陵以命裕，謂裕曰：「太祖以神武受命，豐功茂烈光于四海，恐史官有遺逸，故以命卿。」
HCH_009_129_000228	久之，裕為右丞相、兼中書令。
HCH_009_129_000229	裕在相位，任職用事頗專恣，威福在己，勢傾朝廷。
HCH_009_129_000230	海陵倚信之，他相仰成而已。
HCH_009_129_000231	裕與高藥師善，嘗以海陵密語告藥師，藥師以其言奏海陵，且曰：「裕有怨望心。」
HCH_009_129_000232	海陵召裕戒諭之，而不以為罪也。
HCH_009_129_000233	或有言裕擅權者，海陵以為忌裕者眾，不之信。
HCH_009_129_000234	又以為人見裕弟蕭祚為左副點檢，妹夫耶律辟離剌為左衛將軍，勢位相憑藉，遂生忌嫉，乃出祚為益都尹，辟離剌為甯昌軍節度使，以絕眾疑。
HCH_009_129_000235	裕不知海陵意，遽見出其親表補外，不令己知之，自是深念恐海陵疑己。
HCH_009_129_000236	海陵弟太師袞領三省事，共在相位，以裕多自用，頗防閑之，裕乃謂海陵使袞備之也。
HCH_009_129_000237	而海陵猜忍嗜殺，裕恐及禍，遂與前真定尹蕭馮家奴、前禦史中丞蕭招折、博州同知遙設、裕女夫遏剌補謀立亡遼豫王延禧之孫。
HCH_009_129_000238	裕使親信蕭屯納往結西北路招討使蕭好胡，好胡即懷忠。
HCH_009_129_000239	懷忠依違未決，謂屯納曰：「此大事，汝歸遣一重人來。」
HCH_009_129_000240	裕乃使招折往。
HCH_009_129_000241	招折前為中丞，以罪免，以此得詣懷忠。
HCH_009_129_000242	懷忠問招折與謀者複有何人，招折曰：「五院節度使耶律朗亦是也。」
HCH_009_129_000243	懷忠舊與朗有隙，而招折嘗上撻懶變事，懷忠疑招折反復，因執招折，收朗繫獄，遣使上變。
HCH_009_129_000244	遙設亦與筆硯令史白答書，使白答助裕以取富貴，白答奏其書。
HCH_009_129_000245	海陵信裕不疑，謂白答構誣之，命殺白答於市。
HCH_009_129_000246	執白答出宣華門，點檢徒單貞得蕭懷忠上變事入奏，遇見白答，問其故，因止之。
HCH_009_129_000247	徒單貞已奏變事，以白答為請，海陵遽使釋之。
HCH_009_129_000248	海陵使宰相問裕，裕即款伏。
HCH_009_129_000249	海陵甚驚愕，猶未能盡信，引見裕，親問之。
HCH_009_129_000250	裕曰：「大丈夫所為，事至此又豈可諱。」
HCH_009_129_000251	誨陵複問曰：「汝何怨於朕而作此事？」
HCH_009_129_000252	裕曰：「陛下凡事皆與臣議，及除祚等乃不令臣知之。領省國王每事謂臣專權，頗有提防，恐是得陛下旨意。陛下與唐括辯及臣約同生死，辯以強忍果敢致之死地，臣皆知之，恐不得死所，以此謀反，幸苟免耳。太宗子孫無罪，皆死臣手，臣之死亦晚矣。」
HCH_009_129_000253	海陵複謂裕曰：「朕為天子，若于汝有疑，雖汝弟輩在朝，豈不能施行，以此疑我，汝實錯誤。太宗諸子豈獨在汝，朕為國家計也。」
HCH_009_129_000254	又謂之曰：「自來與汝相好，雖有此罪，貸汝性命，惟不得作宰相，令汝終身守汝祖先墳壟。」
HCH_009_129_000255	裕曰：「臣子既犯如此罪逆，何面目見天下人，但願絞死，以戒其餘不忠者。」
HCH_009_129_000256	海陵遂以刀刺左臂，取血塗裕面，謂之曰：「汝死之後，當知朕本無疑汝心。」
HCH_009_129_000257	裕曰：「久蒙陛下非常眷遇，仰戀徒切，自知錯繆，雖悔何及。」
HCH_009_129_000258	海陵哭送裕出門，殺之，並誅遙設及馮家奴。
HCH_009_129_000259	馮家奴妻，豫王女也，與其子穀皆與反謀，並殺之。
HCH_009_129_000260	遣護衛龐葛往西北路招討司誅朗及招折，而屯納、遏剌補皆出走，捕得屯納棄市，遏剌補自縊死。
HCH_009_129_000261	屯納出走，過河間少尹蕭之詳，之詳初不知裕事，留之三日。
HCH_009_129_000262	屯納往之詳茶紮家，茶紮遣人詣之詳告公引，得之，付屯納遣之他所。
HCH_009_129_000263	茶紮家奴發其事，吏部侍郎窊產鞫之，之祥曰：「屯納宿二日而去。」
HCH_009_129_000264	法家以之詳隱其間，欺尚書省，罪當贖。
HCH_009_129_000265	海陵怒，命殺之，杖窊產及議法者，茶紮杖四百死。
