HCH_012_316_000206	燮元奏未可驟，乃傳檄土目，諭以威德，諸苗爭納土獻印。
HCH_012_316_000207	貴陽甫定，而明亦旋亡矣。
HCH_012_316_000208	思南，即唐思州。
HCH_012_316_000209	宋宣和中，番部田祐恭內附，世有其地。
HCH_012_316_000210	元改宣慰司。
HCH_012_316_000211	明洪武初，析為二宣慰，屬湖廣。
HCH_012_316_000212	永樂十一年置思南府，領長官司四：曰水德江，曰蠻夷，曰沿河祐溪，曰朗溪。
HCH_012_316_000213	思州領長官司四：曰都坪峨異溪，曰都素，曰施溪，曰黃道溪。
HCH_012_316_000214	初，太祖起兵平偽漢，略地湖南。
HCH_012_316_000215	思南宣慰使田仁智遣都事楊琛來歸附，並納元所授宣慰誥。
HCH_012_316_000216	帝以率先來歸，俾仍為思南道宣慰使，以三品銀印給之，並授琛為宣撫使。
HCH_012_316_000217	思州宣撫使田仁厚亦遣都事林憲、萬戶張思溫來獻鎮遠、古州軍民二府，婺川、功水、常寧等十縣，龍泉、瑞溪、沿河等三十四州。
HCH_012_316_000218	於是命改思州宣撫為思南鎮西等處宣慰使司，以仁厚為使，俱歲朝貢不絕。
HCH_012_316_000219	二年，仁厚死，子弘正襲。
HCH_012_316_000220	帝以思南土官世居荒服，未嘗詣闕，詔令率其部長入朝。
HCH_012_316_000221	九年，仁智入覲，加賜織金文綺，並諭以敬上愛下保守爵祿之道。
HCH_012_316_000222	仁智辭歸，至九江龍城驛病卒。
HCH_012_316_000223	有司以聞，遣官致祭，並敕送柩歸思南。
HCH_012_316_000224	時思州田弘正與其弟弘道等來朝，帝命禮部皆優賜。
HCH_012_316_000225	十一年，仁智子大雅襲，奉表謝恩。
HCH_012_316_000226	命思南收集各洞弩手二千人，備征調。
HCH_012_316_000227	十四年，大雅入朝。
HCH_012_316_000228	十八年，思州諸洞蠻作亂，命信國公湯和等討之。
HCH_012_316_000229	時寇出沒不常，聞師至，輒竄山谷間，退則復出剽掠。
HCH_012_316_000230	和等師抵其地，恐蠻人驚潰，乃令軍士於諸洞分屯立柵，與蠻人雜耕，使不復疑。
HCH_012_316_000231	久之，以計擒其魁，余黨悉定，留兵鎮之。
HCH_012_316_000232	二十年移思南宣慰於鎮遠。
HCH_012_316_000233	大雅來謝恩。
HCH_012_316_000234	思州宣慰弘正死，子琛襲。
HCH_012_316_000235	三十年，大雅母楊氏來朝。
HCH_012_316_000236	永樂八年，大雅死，子宗鼎襲。
HCH_012_316_000237	初，宗鼎兇暴，與其副使黃禧構怨，奏訐累年。
HCH_012_316_000238	朝廷以田氏世守其土，又先歸誠，曲與保全，改禧為辰州知府。
HCH_012_316_000239	未幾，思州宣慰田琛與宗鼎爭沙坑地有怨。
HCH_012_316_000240	禧遂與琛結，圖宗鼎，構兵。
HCH_012_316_000241	琛自稱天主，禧為大將，率兵攻思南。
HCH_012_316_000242	宗鼎挈家走，琛殺其弟，發其墳墓，並戮其母屍。
HCH_012_316_000243	宗鼎訴於朝，屢敕琛、禧赴闕自辨，皆拒命不至，潛使奸人入教坊司，伺隙為變。
HCH_012_316_000244	事覺，遣行人蔣廷瓚召之，命鎮遠侯顧成以兵壓其境，執琛、禧械送京師，皆引服。
HCH_012_316_000245	琛妻冉氏尤強悍，遣人招誘臺羅等寨苗普亮為亂，冀朝廷遣琛還招撫，以免死。
HCH_012_316_000246	帝聞而錮之。
HCH_012_316_000247	以宗鼎窮蹙來歸，得未減，令復職，還思南。
HCH_012_316_000248	而宗鼎必得報怨，以絕禍根。
HCH_012_316_000249	帝以宗鼎幸免禍，不自懲，乃更逞忿，亦留之。
HCH_012_316_000250	宗鼎出誹言，因發祖母陰事，謂與禧奸，實造禍本。
HCH_012_316_000251	祖母亦發宗鼎縊殺親母瀆亂人倫事。
HCH_012_316_000252	帝命刑部正其罪，諭戶部尚書夏原吉曰：「琛、宗鼎分治思州、思南，皆為民害。琛不道，已正其辜。宗鼎滅倫，罪不可宥。其思州、思南三十九長官地，可更郡縣，設貴州布政使司總轄之。」
HCH_012_316_000253	命顧成剿臺羅諸寨。
HCH_012_316_000254	成斬苗賊普亮，思州乃平。
HCH_012_316_000255	十二年遂分其地為八府四州，貴州為內地，自是始。
HCH_012_316_000256	兩宣慰廢，田氏遂亡。
HCH_012_316_000257	正統初，蠻夷長官司奏土官衙門婚姻，皆從土俗，乞頒恩命。
HCH_012_316_000258	帝以土司循襲舊俗，因親結婚者，既累經赦宥不論，繼今悉依朝廷禮法，違者罪之。
HCH_012_316_000259	景泰間，思南府奏府四面皆山，關隘五處，無城可守，乞發附近土軍修築。
HCH_012_316_000260	命巡撫王來經畫之。
HCH_012_316_000261	鎮遠，故為豎眼大田溪洞。
HCH_012_316_000262	元初，置鎮遠沿邊溪洞招討使，後改為鎮遠府。
HCH_012_316_000263	洪武五年改為州，隸湖廣。
HCH_012_316_000264	永樂十一年仍改府，屬貴州。
HCH_012_316_000265	領長官司二：曰遍橋，曰邛水十五洞。
HCH_012_316_000266	領縣二：曰鎮遠，即金容金達、楊溪公俄二長官司地；曰施秉，即施秉長官司地也。
HCH_012_316_000267	洪武二十年，土官趙士能來朝，貢馬。
HCH_012_316_000268	三十年，鎮遠鬼長菁等處苗民作亂，指揮萬繼、百戶吳彬戰死。
HCH_012_316_000269	都指揮許能率兵會偏橋衛軍擊敗之，眾散走。
HCH_012_316_000270	永樂初，鎮遠長官何惠言：「每歲修治清浪、焦溪、鎮遠三橋，工費浩大。所部臨溪部民，皆佯、儣、㑤、佬，力不勝役，乞令軍民參助。」
HCH_012_316_000271	從之。
HCH_012_316_000272	宣德初，鎮遠邛水奧洞蠻苗章奴劫掠清浪道中，為思州都坪峨異溪長官司所獲。
HCH_012_316_000273	其父苗銀總劫取之，聚兵欲攻思州。
HCH_012_316_000274	因令赤溪洞長官楊通諒往撫，銀總伏兵殺諒，又掠埂洞。
HCH_012_316_000275	命總兵官蕭授調辰、沅諸衛兵萬四千人剿之，會於清浪衛，指揮張名討銀總，克奧洞，盡殺其黨，銀總遁。
HCH_012_316_000276	正統三年革鎮遠州，以鎮遠、施秉二長官司隸鎮遠府。
HCH_012_316_000277	十二年，巡按御史虞禎奏：「貴州蠻賊出沒，撫之不從，捕之不得，若非設策，難以控制。臣觀清水江等處，峭壁層崖，僅通一徑出入，彼得恃險為惡。若將江外山口盡行閉塞，江內山口並津渡俱設關堡，屯兵守禦，又擇寨長有才幹者為辦事官，庶毋疏虞。」
HCH_012_316_000278	從之。
HCH_012_316_000279	十四年命振偏橋衛，以被苗寇殺掠，不能自存，有司以請，從之。
HCH_012_316_000280	天順七年，鎮守湖廣太監郭閔奏：「貴州洪江賊苗蟲蝦等糾合二千餘人，偽稱王侯，攻劫鎮遠屯寨。撫諭不服，請合兵進討。」
HCH_012_316_000281	命總兵官李震、李安等分道入，賊退守平坤寨，官兵追至清水江，獲蟲蝦，並斬賊首飛天侯、苗老底、額頭等六百四十餘人，並復黎平之赤溪湳洞，賊平。
HCH_012_316_000282	弘治十年改鎮遠金容金達長官司為鎮遠州，設流官。
HCH_012_316_000283	時土官碖父子罪死，土人思得流官，守臣以聞，報可。
HCH_012_316_000284	萬歷末，邛水長官司楊光春貪暴，土目彭必信濟之箕斂。
HCH_012_316_000285	苗不堪，將上訴改設流官，光春與必信遂謀反，言官兵欲剿諸苗，當斂金贖，得金五百餘。
HCH_012_316_000286	都御史何起鳴诇知之，捕光春下獄，瘐死。
HCH_012_316_000287	於是每四戶擇壯兵一人，立四哨，不為兵者佐糗糧魚鹽，簡土吏何文奎等掌之。
HCH_012_316_000288	必信復醵諸苗金，訴於朝，言巴也、梁止諸寨為亂，指揮使陶效忠不問，反索土官楊光春金而殺之。
HCH_012_316_000289	改舊例用新法，不便。
HCH_012_316_000290	書上，意自得，歸謁知府王一麟。
HCH_012_316_000291	一麟縛之下獄，檄諸苗，言：「若等十五洞所苦者，以兵餉月米三斗過甚耳。然歲給白蟲鋪米，每洞月八斗，他於平溪驛剩余征銀兩，皆可足餉。我為若通之，毋為必信所誣。」
HCH_012_316_000292	苗皆悅服，乃坐必信罪。
HCH_012_316_000293	時有土舍楊載清者應襲推官，嘗中貴州鄉試，命於本衛加俸級優異之。
HCH_012_316_000294	天啟五年，巡撫傅宗龍奏：「苗寇披猖，地方受害，乞敕偏沅撫臣移鎮偏橋，勿復回沅，凡思、石、偏、鎮等處俾練兵萬餘人，平時以之剿苗，大征即統為督臣後勁，庶苗患寧而西賊之氣亦漸奪矣。」
HCH_012_316_000295	報可。
HCH_012_316_000296	銅仁，元為銅人大小江等處軍民長官司。
HCH_012_316_000297	洪武初，改為銅仁長官司。
HCH_012_316_000298	永樂十一年置銅仁府。
