HCH_009_010_000270	丁卯，敕自今長老、大師、大德不限年甲，長老、大師許度弟子三人，大德二人，戒僧年四十以上者度一人。
HCH_009_010_000271	其大定十五年附籍沙彌年六十以上並令戒，仍不許度弟子。
HCH_009_010_000272	尼、道士、女冠亦如之。
HCH_009_010_000273	御史大夫移剌仲方罷。
HCH_009_010_000274	庚午，幸環秀亭觀稼。
HCH_009_010_000275	癸酉，詔應禁軍器路分，步弓手擬於射糧軍內選之，馬弓手擬于猛安謀克軍戶余丁內選之。
HCH_009_010_000276	其有為百姓害，從本州縣斷遣。
HCH_009_010_000277	無猛安戶，於二百里內屯駐軍余丁內取之，依步弓手月給二貫石。
HCH_009_010_000278	七月庚辰，禦紫宸殿，受諸王、百官賀，賜諸王、宰執酒。
HCH_009_010_000279	敕有司：「以酒萬尊置通衢，賜民縱飲。」
HCH_009_010_000280	乙酉，敕今後高麗、夏使入見數奏，令新設各國通事具公服與閣門使上殿監聽。
HCH_009_010_000281	命有司收瘞西北路陣亡骸骨。
HCH_009_010_000282	八月己酉，獵於近郊。
HCH_009_010_000283	癸丑，幸玉泉山。
HCH_009_010_000284	甲子，以郊祀日期詔中外。
HCH_009_010_000285	戊辰，至自萬甯宮。
HCH_009_010_000286	以陝西西北路轉運使董師中為御史大夫。
HCH_009_010_000287	癸酉，左丞衡丁父憂。
HCH_009_010_000288	九月丁丑朔，天壽節，宋、高、夏遣使來賀。
HCH_009_010_000289	幸天長觀。
HCH_009_010_000290	辛巳，以右丞相襄為左丞相，監修國史，封常山郡王。
HCH_009_010_000291	壬午，賜襄酒百尊。
HCH_009_010_000292	太白晝見。
HCH_009_010_000293	癸未，都人進酒三千一百瓶，詔以賜北邊軍吏。
HCH_009_010_000294	以吏部尚書張嗣等為賀宋生日使。
HCH_009_010_000295	癸巳，左丞衡起複。
HCH_009_010_000296	丁酉，知大興府卜、同知郭鑄以擅逮問宰臣，各笞四十。
HCH_009_010_000297	辛丑，西南路招討使僕散揆至自軍。
HCH_009_010_000298	乙巳，以國子監丞烏古論達吉不為夏國生日使。
HCH_009_010_000299	冬十月丙午朔，詔選親軍八百人戍撫州。
HCH_009_010_000300	庚戌，命左丞相襄行省于北京，簽書樞密院事完顏匡行院於撫州。
HCH_009_010_000301	丙辰，祫享於太廟。
HCH_009_010_000302	十一月戊子，參知政事馬琪罷。
HCH_009_010_000303	庚寅，特滿群牧契丹陀鎖、德壽反，泰州軍擊敗之。
HCH_009_010_000304	御史大夫董師中、北京留守裔並為參知政事。
HCH_009_010_000305	甲午，以陝西路統軍使崇道等為賀宋正旦使。
HCH_009_010_000306	丁酉，朝享於太廟。
HCH_009_010_000307	戊戌，有事於南郊，大赦，改元。
HCH_009_010_000308	己亥，曹王永升率親王、百官賀。
HCH_009_010_000309	癸卯，命有司祈雪，仍遣官祈于東嶽。
HCH_009_010_000310	十二月丙午，樞密使唐括貢率百官請上尊號，不允。
HCH_009_010_000311	乙酉，遣提點太醫近侍局使李仁惠勞賜北邊將士，授官者萬一千人，授賞者幾二萬人，凡用銀二十萬兩，絹五萬匹、錢三十二貫。
HCH_009_010_000312	庚戌，以同知登聞檢院阿不罕德剛為高麗國生日使，壬子，樞密使唐括貢複率百官請上尊號，不允。
HCH_009_010_000313	二年春正月乙亥朔，宋、高麗、夏遣使來賀。
HCH_009_010_000314	乙酉，敕職官犯贓私不得訴於同官。
HCH_009_010_000315	丁亥，如安州春水。
HCH_009_010_000316	丁酉，至自春水。
HCH_009_010_000317	辛丑，宋主以母后喪，遣使告哀。
HCH_009_010_000318	二月丁巳，敕自今職官犯贓，每削一官殿一年。
HCH_009_010_000319	是日，太白晝見，經天。
HCH_009_010_000320	是月，特命襲封衍聖公孔元措世襲兼曲阜令。
HCH_009_010_000321	三月己卯，親王、百官複請上尊號，不允。
HCH_009_010_000322	壬午，命尚書戶部侍郎溫昉佩金符，行六部尚書于撫州。
HCH_009_010_000323	庚寅，幸西園閱軍器。
HCH_009_010_000324	辛卯，始定保舉德行才能格。
HCH_009_010_000325	癸巳，平章政事烏林答願罷。
HCH_009_010_000326	丁酉，樞密使唐括貢率百官請上尊號，不允。
HCH_009_010_000327	以參知政事裔代左丞相襄行省于北京。
HCH_009_010_000328	夏四月甲寅，如萬甯宮。
HCH_009_010_000329	丙辰，命有司祈雨，望祭嶽鎮海瀆於北郊。
HCH_009_010_000330	甲子，祈雨於社稷。
HCH_009_010_000331	尚書省奏：「比歲北邊調度頗多，請降僧道空名度牒紫褐師德號以助軍儲。」
HCH_009_010_000332	從之。
HCH_009_010_000333	癸酉，親王宣敕始用女直字。
HCH_009_010_000334	五月甲戌朔，諭宰臣曰：「比以軍須，隨路賦調。司縣不度緩急，促期征斂，使民費及數倍，胥吏又乘之以侵暴。其令提刑司究察之。」
HCH_009_010_000335	丙子，集官吏于尚書省，詔諭之曰：「今紀綱不立，官吏弛慢，遷延苟簡，習以成弊。職官多以吉善求名，計得自安，國家何賴焉？至於徇情賣法，省部令史尤甚。尚書省其戒諭之。」
HCH_009_010_000336	丁丑，北京行省參知政事裔移駐臨潢府。
HCH_009_010_000337	庚辰，升撫州為鎮寧軍。
HCH_009_010_000338	以雨足，報祭於社稷。
HCH_009_010_000339	甲申，望祭嶽鎮海瀆於北郊。
HCH_009_010_000340	丁亥，左丞相襄詣臨潢府。
HCH_009_010_000341	己丑，皇子生，庚寅，詔中外，降死罪，釋徒以下。
HCH_009_010_000342	六月乙巳，命禮部尚書張暐報祀高禖。
HCH_009_010_000343	丙午，雨雹。
