HCH_010_038_000305	古陴離郡地，漢屬險瀆縣，高麗爲霜岩縣，渤海置州。
HCH_010_038_000306	統縣一：奉集縣。
HCH_010_038_000307	渤海置。
HCH_010_038_000308	廣州，防禦，漢屬襄平縣，高麗爲當山縣，渤海爲鐵利郡。
HCH_010_038_000309	太祖遷渤海人居之，建鐵利州。
HCH_010_038_000310	統和八年省。
HCH_010_038_000311	開泰七年以漢戶置。
HCH_010_038_000312	統縣一：昌義縣。
HCH_010_038_000313	遼州，始平軍，下，節度。
HCH_010_038_000314	本拂涅國城，渤海爲東平府。
HCH_010_038_000315	唐太宗親征高麗，李世撥遼城；高宗詔程振、蘇定方討高麗，至新城，大破之；皆此地也。
HCH_010_038_000316	太祖伐渤海，先破東平府，遷民實之。
HCH_010_038_000317	故東平府都督伊、蒙、陀、黑、北五州，<一九>共領縣十八，皆廢。
HCH_010_038_000318	太祖改爲州，軍曰東平，太宗更爲始平軍。
HCH_010_038_000319	有遼河、羊腸河、錐子河、蛇山、狼山、黑山、巾子山。
HCH_010_038_000320	隸長寧宮，兵事屬北女直兵馬司。
HCH_010_038_000321	統州一、縣二：遼濱縣。
HCH_010_038_000322	安定縣。
HCH_010_038_000323	祺州，<二○>聖軍，下，刺史。
HCH_010_038_000324	本渤海蒙州地。
HCH_010_038_000325	太祖以檀州俘於此建檀州，後更名。
HCH_010_038_000326	隸弘義宮，兵事屬北女直兵馬司。
HCH_010_038_000327	統縣一：慶雲縣。
HCH_010_038_000328	太祖俘密雲民，於此建密雲縣，後更名。
HCH_010_038_000329	遂州，刺史。
HCH_010_038_000330	本渤海美州地，採訪使耶律頗德以部下漢民置。
HCH_010_038_000331	穆宗時，頗德嗣絕，沒入焉。
HCH_010_038_000332	隸延昌宮。
HCH_010_038_000333	統縣一：山河縣。
HCH_010_038_000334	本渤海縣，並黑川、麓川二縣置。
HCH_010_038_000335	通州，安遠軍，節度。
HCH_010_038_000336	本扶餘國王城，渤海號扶餘城。
HCH_010_038_000337	太祖改龍州，聖宗更今名。
HCH_010_038_000338	保寧七年，以黃龍府叛人燕頗餘黨千餘戶置，升節度。
HCH_010_038_000339	<二一>統縣四：通遠縣。
HCH_010_038_000340	本渤海扶餘縣，並布多縣置。
HCH_010_038_000341	安遠縣。
HCH_010_038_000342	本渤海顯義縣，並鵲川縣置。
HCH_010_038_000343	歸仁縣，本渤海強帥縣，<二二>並新安縣置。
HCH_010_038_000344	漁穀縣。
HCH_010_038_000345	本渤海縣。
HCH_010_038_000346	韓州，東平軍，下，刺史。
HCH_010_038_000347	本稿離國舊治柳河縣。
HCH_010_038_000348	高麗置頡府，都督、頡二州。
HCH_010_038_000349	<二三>渤海因之。
HCH_010_038_000350	今廢。
HCH_010_038_000351	太宗置三河、榆河二州。
HCH_010_038_000352	聖宗並二州置。
HCH_010_038_000353	隸延昌宮，兵事屬北女直兵馬司。
HCH_010_038_000354	統縣一：柳河縣。
HCH_010_038_000355	本渤海粵喜縣地，並萬安縣置。
HCH_010_038_000356	雙州，保安軍，下，節度。
HCH_010_038_000357	本挹婁故地。
HCH_010_038_000358	渤海置安定郡，久廢。
HCH_010_038_000359	漚里僧王從太宗南征，以俘鎮、定二州之民建城置州。
HCH_010_038_000360	察割弑逆誅，沒入焉。
HCH_010_038_000361	故隸延昌宮，後屬崇德宮，兵事隸北女直兵馬司。
HCH_010_038_000362	統縣一：雙城縣。
HCH_010_038_000363	本渤海安夷縣地。
HCH_010_038_000364	銀州，富國軍，下，刺史。
HCH_010_038_000365	本渤海富州，太祖以銀冶更名。
HCH_010_038_000366	隸弘義宮，兵事屬北女直兵馬司。
HCH_010_038_000367	統縣三：延津縣。
HCH_010_038_000368	本渤海富壽縣，境有延津故城，更名。
HCH_010_038_000369	新興縣。
HCH_010_038_000370	本故越喜國地，渤海置銀冶，嘗置銀州。
HCH_010_038_000371	永平縣。
HCH_010_038_000372	本渤海優富縣地，太祖以俘戶置。
HCH_010_038_000373	舊有永平寨。
HCH_010_038_000374	同州，鎮安軍，下，節度。
HCH_010_038_000375	本漢襄平縣地，渤海爲東平寨。
HCH_010_038_000376	太祖置州，軍曰鎮東，後更名。
HCH_010_038_000377	隸彰湣宮，兵事屬北女直兵馬司。
HCH_010_038_000378	統州一，未詳；縣二：東平縣。
HCH_010_038_000379	本漢襄平縣地。
HCH_010_038_000380	產鐵，撥戶三百采煉，隨征賦輸。
HCH_010_038_000381	永昌縣。
HCH_010_038_000382	本高麗永寧縣地。
HCH_010_038_000383	咸州，安東軍，下，節度。
