HCH_012_066_000284	金寶鈿十八，邊垂珠滴。
HCH_012_066_000285	金簪一對。
HCH_012_066_000286	珊瑚鳳冠觜一副。
HCH_012_066_000287	其大衫、霞帔、燕居佩服之飾，俱同皇妃。
HCH_012_066_000288	親王冠服：助祭、謁廟、朝賀、受冊、納妃服袞冕，朔望朝、降詔、降香、進表、四夷朝貢、朝覲服皮弁。
HCH_012_066_000289	洪武二十六年定，冕服俱如東宮，第冕旒用五采，玉圭長九寸二分五釐，青衣纁裳。
HCH_012_066_000290	永樂三年又定冕服、皮弁制，俱與東宮同，其常服亦與東宮同。
HCH_012_066_000291	嘉靖七年，諭禮部：「朕仿古玄端，自為燕弁冠服，更制忠靜冠服，錫於有位，而宗室諸王制猶未備。今酌燕弁及忠靜冠之制，復為式具圖，命曰保和冠服。自郡王長子以上，其式已明。鎮國將軍以下至奉國中尉及長史、審理、紀善、教授、伴讀，俱用忠靜冠服，依其品服之。儀賓及餘官不許概服。夫忠靜冠服之異式，尊賢之等也。保和冠服之異式，親親之殺也。等殺既明，庶幾乎禮之所保，保斯和，和斯安，此錫名之義也。其以圖說頒示諸王府，如敕遵行。」
HCH_012_066_000292	保和冠制，以燕弁為準，用九𧚥，去簪與五玉，後山一扇，分畫為四。
HCH_012_066_000293	服，青質青緣，前後方龍補，身用素地，邊用云。
HCH_012_066_000294	襯用深衣，玉色。
HCH_012_066_000295	帶青表綠裡綠緣。
HCH_012_066_000296	履用皁綠結，白襪。
HCH_012_066_000297	親王妃冠服：受冊、助祭、朝會服禮服。
HCH_012_066_000298	洪武三年定九翬四鳳冠。
HCH_012_066_000299	永樂三年又定九翟冠，制同皇妃。
HCH_012_066_000300	其大衫、霞帔、燕居佩服之飾，同東宮妃，第金事件減一，玉綬花，瑑寶相花文。
HCH_012_066_000301	公主冠服，與親王妃同，惟不用圭。
HCH_012_066_000302	親王世子冠服：聖節、千秋節並正旦、冬至、進賀表箋及父王生日諸節慶賀，皆服袞冕。
HCH_012_066_000303	洪武二十六年定，袞冕七章，冕三採玉珠，七旒。
HCH_012_066_000304	圭長九寸。
