HCH_012_300_000314	嘉靖中並清子極皆以例降革。
HCH_012_300_000315	萬貴，憲宗萬貴妃父也，歷官錦衣衛指揮使。
HCH_012_300_000316	貴頗謹飭，每受賜，輒憂形於色曰：「吾起掾史，編尺伍，蒙天子恩，備戚屬，子姓皆得官。福過災生，未知所終矣。」
HCH_012_300_000317	時貴妃方擅寵，貴子喜為指揮使，與弟通、達等並驕橫。
HCH_012_300_000318	貴每見諸子屑越賜物，輒戒曰：「官所賜，皆著籍。他日復宣索，汝曹將重得罪。」
HCH_012_300_000319	諸子笑以為迂。
HCH_012_300_000320	成化十年卒，賻贈祭葬有加。
HCH_012_300_000321	十四年進喜都指揮同知，通指揮使，達指揮僉事。
HCH_012_300_000322	通少貧賤，業賈。
HCH_012_300_000323	既驟貴，益貪黷無厭，造奇巧邀利。
HCH_012_300_000324	中官韋興、梁芳等復為左右，每進一物，輒出內庫償，輦金錢絡繹不絕。
HCH_012_300_000325	通妻王出入宮掖，大學士萬安附通為同宗，婢仆朝夕至王所，謁起居。
HCH_012_300_000326	妖人李孜省輩皆緣喜進，朝野苦之。
HCH_012_300_000327	通死，帝眷萬氏不已，遷喜都督同知，達指揮同知。
HCH_012_300_000328	通庶子方二歲，養子方四歲，俱授官。
HCH_012_300_000329	憲宗崩。
HCH_012_300_000330	言官劾其罪狀。
HCH_012_300_000331	孝宗乃奪喜等官，而盡追封誥及內帑賜物，如貴言。
HCH_012_300_000332	邵喜，昌化人，世宗大母邵太后弟也。
HCH_012_300_000333	世宗立，封喜昌化伯，明年卒。
HCH_012_300_000334	子蕙嗣，嘉靖六年卒，無子，族人爭嗣。
HCH_012_300_000335	初，太后入宮時，父林早歿。
