HCH_009_017_000283	千戶劉壽語不遜，詔釋勿問。
HCH_009_017_000284	癸卯，上複出撫東面將士，親傅戰傷者藥于南薰門下，仍賜卮酒。
HCH_009_017_000285	出內府金帛器皿以賞戰士。
HCH_009_017_000286	乙巳，鳳翔府砲軍萬戶王阿驢、樊喬來歸。
HCH_009_017_000287	己酉，造革車三千兩，已而不用。
HCH_009_017_000288	置局養無家俘民。
HCH_009_017_000289	夏四月癸丑，兵士李新有功，擢四方館使。
HCH_009_017_000290	元帥劉益叱其子戰死。
HCH_009_017_000291	丁巳，遣戶部侍郎楊居仁奉金帛詣大元兵乞和。
HCH_009_017_000292	戊午，又以珍異往謝許和。
HCH_009_017_000293	癸亥，明惠皇后陵被發，失柩所在，遣中官往視之，至是始得。
HCH_009_017_000294	以兵護宮女十人出迎朔門奉柩至城下，設禦幄安置，是夜複葬之。
HCH_009_017_000295	戮鄭倜妻子。
HCH_009_017_000296	甲子，禦端門肆赦，改元天興。
HCH_009_017_000297	詔內外官民能完複州郡者功賞有差。
HCH_009_017_000298	出金帛酒炙犒飫軍士。
HCH_009_017_000299	減禦膳，罷冗員，放宮女。
HCH_009_017_000300	上書不得稱聖，改聖旨為制旨。
HCH_009_017_000301	釋鎬厲王、衛紹王二族禁錮，聽自便。
HCH_009_017_000302	乙丑，百官初起居於隆德殿前。
HCH_009_017_000303	丙寅，以尚書省兼樞密院事。
HCH_009_017_000304	丁卯，放宮女，聽以衣裝自隨，金珠留犒士卒。
HCH_009_017_000305	汴京解嚴，步軍始出封丘門采薪蔬。
HCH_009_017_000306	己巳，建威都尉完顏兀論同大元使沒忒入城。
HCH_009_017_000307	庚午，見使臣於隆德殿。
HCH_009_017_000308	放宮女如前。
HCH_009_017_000309	辛未，開鄭門聽百姓男子出入。
HCH_009_017_000310	甲戌，禦承天門大饗將士，聞有聲屈者乃還宮。
HCH_009_017_000311	乙亥，有詔止奏事。
HCH_009_017_000312	許州進櫻桃。
HCH_009_017_000313	五月辛巳，遷民告出城者以萬數，賽不、白撒不聽。
