HCH_012_072_000221	從五品，協正庶尹。
HCH_012_072_000222	自五品以上，曆再考，乃授勳。
HCH_012_072_000223	凡百官遷除、降調皆開寫年甲、鄉貫、出身。
HCH_012_072_000224	每歲十二月貼黃，春秋清黃，皆赴內府。
HCH_012_072_000225	有故，揭而去之。
HCH_012_072_000226	凡父母年七十，無兄弟，得歸養。
HCH_012_072_000227	凡三年喪，解職守制，糾擿其奪喪、匿喪、短喪者。
HCH_012_072_000228	惟欽天監官奔喪三月復任。
HCH_012_072_000229	考功，掌官吏考課、黜陟之事，以贊尚書。
HCH_012_072_000230	凡內外官給由，三年初考，六年再考，並引請，九年通考，奏請綜其稱職、平常、不稱職而陟黜之。
HCH_012_072_000231	陟無過二等，降無過三等，其甚者黜之、罪之。
HCH_012_072_000232	京官六年一察，察以巳、亥年。
HCH_012_072_000233	五品下考察其不職者，降罰有差；四品上自陳，去留取旨。
HCH_012_072_000234	外官三年一朝，朝以辰、戌、醜、未年。
HCH_012_072_000235	前期移撫、按官，各綜其屬三年內功過狀注考，匯送覆核以定黜陟。
HCH_012_072_000236	倉場庫官一年考，巡檢三年考，教官九年考。
HCH_012_072_000237	府州縣官之考，以地之繁簡為差。
HCH_012_072_000238	吏之考，三、六年滿，移驗封司撥用。
HCH_012_072_000239	九年滿，又試授官。
HCH_012_072_000240	惟王官及欽天、御用等監官不考。
HCH_012_072_000241	凡內外官彈章，稽其功過，擬去留以請上裁。
HCH_012_072_000242	薦舉、保留，則核其政績旌異焉。
HCH_012_072_000243	明初，設四部於中書省，分掌錢鼓禮儀、刑名、營造之務。
HCH_012_072_000244	洪武元年始置吏、戶、禮、兵、刑、工六部，設尚書、侍郎、郎中、員外郎、主事，尚書正三品，侍郎正四品，郎中正五品，員外郎正六品，主事正七品。
HCH_012_072_000245	仍隸中書省。
HCH_012_072_000246	六年，部設尚書二人，侍郎二人。
HCH_012_072_000247	吏部設總部、司勳、考功三屬部，部設郎中、員外郎各一人，主事各二人。
HCH_012_072_000248	十三年，罷中書省，仿《周官》六卿之制，升六部秩，各設尚書、侍郎一人。
HCH_012_072_000249	惟戶部侍郎二人。
HCH_012_072_000250	每部分四屬部，吏部屬部加司封。
HCH_012_072_000251	每屬部設郎中、員外郎、主事各一人，尋增侍郎一人。
HCH_012_072_000252	二十二年，改總部為選部。
HCH_012_072_000253	二十九年，定為文選、驗封、稽勳、考功四司並五部屬，皆稱清吏司。
HCH_012_072_000254	建文中，改六部尚書為正一品，設左、右侍中，正二品位侍郎上，除去諸司清吏字。
HCH_012_072_000255	成祖初，悉復舊制。
HCH_012_072_000256	永樂元年，以北平為北京，置北京行部尚書二人，侍郎四人，其屬置六曹清吏司。
HCH_012_072_000257	吏、戶、禮、兵、工五曹，郎中、員外郎、主事各一人。
HCH_012_072_000258	刑曹，郎中一人，員外郎一人，主事四人，照磨、檢校各一人，司獄一人。
HCH_012_072_000259	尋戶曹亦增設主事三人。
HCH_012_072_000260	後又分置六部，各稱行在某部。
HCH_012_072_000261	十八年定都北京，罷行部及六曹，以六部官屬移之北，不稱行在。
HCH_012_072_000262	其留南京者，加「南京。」
HCH_012_072_000263	字。
HCH_012_072_000264	洪熙元年，復置各部官屬於南京，去「南京。」
HCH_012_072_000265	字，而以在北京者加「行在。」
HCH_012_072_000266	字，仍置行部。
HCH_012_072_000267	宣德三年復罷行部。
HCH_012_072_000268	正統六年，於北京去「行在。」
HCH_012_072_000269	字，於南京仍加「南京。」
HCH_012_072_000270	字，遂為定制。
HCH_012_072_000271	景泰中，吏部嘗設二尚書。
HCH_012_072_000272	天順初，復罷其一。
HCH_012_072_000273	按吏部尚書，表率百僚，進退庶官，銓衡重地，其禮數殊異，無與並者。
HCH_012_072_000274	永樂初，選翰林官入直內閣。
HCH_012_072_000275	其後大學士楊士奇等加至三孤，兼尚書銜，然品敘列尚書蹇義、夏原吉下。
HCH_012_072_000276	景泰中，左都御史王文升吏部尚書，兼學士，入內閣，其班位猶以原銜為序次。
HCH_012_072_000277	自弘治六年二月，內宴，大學士丘濬遂以太子太保、禮部尚書，居太子太保、吏部尚書王恕之上。
HCH_012_072_000278	其後由侍郎、詹事入閣者，班皆列六部上矣。
HCH_012_072_000279	戶部。
HCH_012_072_000280	尚書一人，正二品；左、右侍郎各一人，正三品。
HCH_012_072_000281	其屬，司務廳，司務二人，從九品；浙江、江西、湖廣、陝西、廣東、山東、福建、河南、山西、四川、廣西、貴州、雲南十三清吏司，各郎中一人，正五品。
HCH_012_072_000282	宣德以後增設山西司郎中三人，陝西、貴州、雲南三司郎中各二人，山東司郎中一人。
HCH_012_072_000283	員外郎一人，從五品。
HCH_012_072_000284	宣德七年增設四川、雲南二司員外郎各一人，後仍革。
HCH_012_072_000285	主事二人，正六品。
HCH_012_072_000286	宣德以後增設雲南司主事七人，浙江、江西、湖廣、陝西、福建、河南、山西七司主事各二人，山東、四川、貴州三司主事各一人。
