HCH_012_007_000243	丙戌，徵山西、山東、河南、陝西、遼東五都司及西寧、鞏昌、洮、岷各衞兵，期三月會北京及宣府。
HCH_012_007_000244	戊子，大祀天地於南郊。
HCH_012_007_000245	癸巳，鄭和復使西洋。
HCH_012_007_000246	三月戊寅，大閱，諭諸將親征。
HCH_012_007_000247	命柳升、陳英領中軍，張輔、朱勇領左掖，王通、徐亨領右掖，鄭亨、孟瑛領左哨，薛祿、譚忠領右哨，陳懋、金忠領前鋒。
HCH_012_007_000248	己卯，賜邢寬等進士及第、出身有差。
HCH_012_007_000249	夏四月戊申，皇太子監國。
HCH_012_007_000250	己酉，發京師。
HCH_012_007_000251	庚午，次隰寧，諜報阿魯台走答蘭納木兒河，遂趨進師。
HCH_012_007_000252	五月己卯，次開平，使使招諭阿魯台諸部。
HCH_012_007_000253	乙酉，瘞道中遺骸。
HCH_012_007_000254	丁酉，宴羣臣於應昌，命中官歌太祖御製詞五章，曰：「此先帝所以戒後嗣也，雖在軍旅何敢忘。」
HCH_012_007_000255	己亥，次威遠州。
HCH_012_007_000256	復宴羣臣，自製詞五章，命中官歌之。
HCH_012_007_000257	皇太子令免廣平、順德、揚州及湖廣、河南郡縣水災田租。
HCH_012_007_000258	六月庚申，前鋒至答蘭納木兒河，不見敵，命張輔等窮搜山谷三百里無所得，進駐河上。
HCH_012_007_000259	癸亥，陳懋等引兵抵白邙山，以糧盡還。
HCH_012_007_000260	甲子，班師，命鄭亨等以步卒西會於開平。
HCH_012_007_000261	壬申夜，南京地震。
HCH_012_007_000262	秋七月庚辰，勒石於清水源之崖。
HCH_012_007_000263	戊子，遣呂震以旋師諭太子，詔告天下。
HCH_012_007_000264	己丑，次蒼崖戍，不豫。
HCH_012_007_000265	庚寅，至榆木川，大漸。
HCH_012_007_000266	遺詔傳位皇太子，喪禮一如高皇帝遺制。
HCH_012_007_000267	辛卯，崩，年六十有五。
HCH_012_007_000268	太監馬雲密與大學士楊榮、金幼孜謀，以六軍在外，秘不發喪，鎔錫為椑以斂，載以龍轝，所至朝夕上饍如常儀。
HCH_012_007_000269	壬辰，楊榮偕御馬監少監海壽馳訃皇太子。
HCH_012_007_000270	壬寅，次武平鎮，鄭亨步軍來會。
HCH_012_007_000271	八月甲辰，楊榮等至京師，皇太子即日遣太孫奉迎於開平。
HCH_012_007_000272	己酉，次鵰鶚谷，皇太孫至軍中發喪。
HCH_012_007_000273	壬子，及郊，皇太子迎入仁智殿，加殮納梓宮。
HCH_012_007_000274	九月壬午，上尊諡曰體天弘道高明廣運聖武神功純仁至孝文皇帝，廟號太宗，葬長陵。
HCH_012_007_000275	嘉靖十七年九月，改上尊諡曰啟天弘道高明肇運聖武神功純仁至孝文皇帝，廟號成祖。
HCH_012_007_000276	贊曰：文皇少長習兵，據幽燕形勝之地，乘建文孱弱，長驅內向，奄有四海。
HCH_012_007_000277	即位以後，躬行節儉，水旱朝告夕振，無有壅蔽。
HCH_012_007_000278	知人善任，表裏洞達，雄武之略，同符高祖。
HCH_012_007_000279	六師屢出，漠北塵清。
HCH_012_007_000280	至其季年，威德遐被，四方賓服，受朝命而入貢者殆三十國。
HCH_012_007_000281	幅隕之廣，遠邁漢、唐。
HCH_012_007_000282	成功駿烈，卓乎盛矣。
HCH_012_007_000283	然而革除之際，倒行逆施，慙德亦曷可掩哉。
