HCH_009_079_000226	朝廷方議禮制度，頗愛虛中有才藝，加以官爵，虛中即受之，與韓昉輩俱掌詞命。
HCH_009_079_000227	明年，洪皓至上京，見虛中，甚鄙之。
HCH_009_079_000228	天會十三年，熙宗即位。
HCH_009_079_000229	宗翰為太保領三省事，封晉國王，乞致仕。
HCH_009_079_000230	批答不允，其詞虛中作也。
HCH_009_079_000231	天眷間，累官翰林學士知制誥兼太常卿，封河內郡開國公。
HCH_009_079_000232	書《太祖睿德神功碑》，進階金紫光祿大夫。
HCH_009_079_000233	皇統二年，宋人請和，其誓表曰：「自來流移在南之人，經官陳說，願自歸者，更不禁止。上國之於弊邑，亦乞並用此約。」
HCH_009_079_000234	於是，詔尚書省移文宋國，理索張中孚、張中彥、鄭億年、杜充、張孝純、宇文虛中、王進家屬，發遣李正民、畢良史還宋，惟孟庾去留聽其所欲。
HCH_009_079_000235	時虛中子師瑗仕宋，至轉運判官，攜家北來。
HCH_009_079_000236	四年，轉承旨，加特進。
HCH_009_079_000237	遷禮部尚書，承旨如故。
HCH_009_079_000238	虛中恃才輕肆，好譏訕，凡見女直人輒以礦鹵目之，貴人達官往往積不能平。
HCH_009_079_000239	虛中嘗撰宮殿榜署，本皆嘉美之名，惡虛中者擿其字以為謗訕朝廷，由是媒糵以成其罪矣。
HCH_009_079_000240	六年二月，唐括酬斡家奴杜天佛留告虛中謀反，詔有司鞫治無狀，乃羅織虛中家圖書為反具，虛中曰：「死自吾分。至於圖籍，南來士大夫家家有之，高士談圖書尤多於我家，豈亦反耶？」
HCH_009_079_000241	有司承順風旨並殺士談，至今冤之。
HCH_009_079_000242	士談字季默，高瓊之後。
HCH_009_079_000243	宣和末，為忻州戶曹參軍。
HCH_009_079_000244	入朝，官至翰林直學士。
HCH_009_079_000245	虛中、士談俱有文集行於世。
HCH_009_079_000246	王倫，字正道，故宋宰相王旦弟王勉玄孫。
HCH_009_079_000247	俠邪無賴，年四十余尚與市井惡少群游汴中。
HCH_009_079_000248	天會五年，宋人以倫為假刑部侍郎，與閣門舍人硃弁充通問使。
HCH_009_079_000249	是時，方議伐宋，凡宋使者如倫及宇文虛中、魏行可、顧縱、張邵等，皆留之不遣。
HCH_009_079_000250	居數年，倫久困，乃唱為和議求歸。
HCH_009_079_000251	元帥府使人謂之曰：「此非江南情實，特汝自為此言耳。」
HCH_009_079_000252	倫曰：「使事有指，不然何為來哉。惟元帥察之。」
HCH_009_079_000253	天會十年，劉豫連歲出師皆無功，撻懶為元帥左監軍經略南邊，密主和議，乃遣倫歸。
HCH_009_079_000254	先此，宋已遣使乞和，朝廷未之許也。
HCH_009_079_000255	倫見康王言和議事，康王大喜，遷倫官，並官其子弟。
HCH_009_079_000256	宋方與齊用兵，未可和。
HCH_009_079_000257	天會十五年，康王聞天水郡王已薨，以倫假直學士來請其喪，使倫請撻懶曰：「河南之地，上國既不自有，與其封劉豫，曷若歸之趙氏？」
HCH_009_079_000258	是歲，劉豫受封已八年，不能自立其國，尚勤屯戍，朝廷厭其無能為也，乃廢劉豫。
HCH_009_079_000259	撻懶以左副元帥守汴京，於是倫適至。
HCH_009_079_000260	撻懶，太祖從父兄弟，于熙宗為祖行。
HCH_009_079_000261	太宗長子宗磐乙太師領三省事，位在宗幹上。
HCH_009_079_000262	宗翰薨已久，宗幹不能與宗磐獨抗。
HCH_009_079_000263	明年，天眷元年，撻懶與東京留守宗雋俱入朝，熙宗以宗雋為左丞相。
HCH_009_079_000264	宗雋，太祖子也。
HCH_009_079_000265	撻懶、宗磐、宗雋三人皆跋扈嗜利，陰有異圖，遂合議以齊地與宋，自宗幹以下爭之不能得。
