HCH_012_265_000258	會滿桂兵拒大清兵德勝門外，城上發大炮助桂，誤傷桂兵多。
HCH_012_265_000259	都察院都事張道澤遂劾邦華，言官交章論列，遂罷邦華閑住。
HCH_012_265_000260	自是代者以為戒，率因循姑息，戎政不可問矣。
HCH_012_265_000261	邦華前後罷免家居二十年。
HCH_012_265_000262	父廷諫無恙。
HCH_012_265_000263	十二年四月，起南京兵部尚書，定營制，汰不急之將，並分設之營。
HCH_012_265_000264	謂守江南不若守江北，防下流不若防上流。
HCH_012_265_000265	乃由浦口歷滁、全椒、和，相形勢，繪圖以獻。
HCH_012_265_000266	於浦口置沿江敵臺，於滁設戍卒，於池河建城垣，於滁、椒咽喉則築堡於藕塘。
HCH_012_265_000267	和遭屠戮，請以隸之太平。
HCH_012_265_000268	又請開府采石之山，置哨太平之港，大墾當塗閑田數萬頃資軍儲。
HCH_012_265_000269	徐州，南北要害，水陸交會，請宿重兵，設總督，片檄征調，奠陵京萬全之勢。
HCH_012_265_000270	皆下所司，未及行，以父憂去。
HCH_012_265_000271	十五年冬，起故官，掌南京都察院事，俄代劉宗周為左都御史。
HCH_012_265_000272	都城被兵，即日請督東南援兵入衛，力疾上道。
HCH_012_265_000273	明年三月抵九江。
HCH_012_265_000274	左良玉潰兵數十萬，聲言餉乏，欲寄帑於南京，艨艟蔽江東下。
HCH_012_265_000275	留都士民一夕數徙，文武大吏相顧愕眙。
HCH_012_265_000276	邦華嘆曰：「中原安靜土，東南一角耳。身為大臣，忍坐視決裂，袖手局外而去乎！」
HCH_012_265_000277	乃停舟草檄告良玉，責以大義。
HCH_012_265_000278	良玉氣沮，答書語頗恭。
HCH_012_265_000279	邦華用便宜發九江庫銀十五萬餉之，而身入其軍，開誠慰勞。
HCH_012_265_000280	良玉及其下皆感激，誓殺賊報國，一軍遂安。
HCH_012_265_000281	帝聞之，大喜，陛見嘉勞。
HCH_012_265_000282	邦華跪奏移時，數詔起立，溫語如家人，中官屏息遠伏。
HCH_012_265_000283	其後召對百官，帝輒目註邦華雲。
HCH_012_265_000284	舊例，御史出巡，回道考核。
HCH_012_265_000285	邦華謂回道而後黜，害政已多。
HCH_012_265_000286	論罷巡按、巡鹽御史各一人。
HCH_012_265_000287	奉命考試御史，黜冒濫者一人，追黜御史無顯過而先任推官著貪聲者一人。
HCH_012_265_000288	臺中始畏法。
HCH_012_265_000289	十七年二月，李自成陷山西。
HCH_012_265_000290	邦華密疏請帝固守京師，仿永樂朝故事，太子監國南都。
