HCH_010_053_000265	教坊再拜，臣僚合班。
HCH_010_053_000266	親王進受盞，至褥位，置臺盞，出笏，引左階下殿。
HCH_010_053_000267	御床出。
HCH_010_053_000268	親王復丹墀位，再拜，鞠躬。
HCH_010_053_000269	贊祗候。
HCH_010_053_000270	分班引出。
HCH_010_053_000271	班首右階上殿奏表目進奉。
HCH_010_053_000272	諸道進奉，教坊進奉過訖，贊進奉收。
HCH_010_053_000273	班首舞蹈，五拜，鞠躬。
HCH_010_053_000274	贊各祗候。
HCH_010_053_000275	班首出，臣僚復入，合班謝，舞蹈，五拜，鞠躬。
HCH_010_053_000276	贊各祗候。
HCH_010_053_000277	分班引出。
HCH_010_053_000278	聲警，皇帝、皇后起，赴北殿。
HCH_010_053_000279	皇太后於御容殿，與皇帝、皇后率臣僚再拜。
HCH_010_053_000280	皇太后上香，皆再拜。
HCH_010_053_000281	贊各祗候。
HCH_010_053_000282	可矮墩以上上殿。
HCH_010_053_000283	皇太后三進御容酒，陪位皆拜。
HCH_010_053_000284	皇太后升殿坐。
HCH_010_053_000285	皇帝就露臺上褥位，親王押北南臣僚班丹墀內立。
HCH_010_053_000286	皇帝再拜，臣僚皆拜，鞠躬，皇帝欄內跪，祝皇太后壽訖，復位，再拜。
HCH_010_053_000287	凡拜，皆稱「萬歲」。
HCH_010_053_000288	贊各祗候。
HCH_010_053_000289	臣僚不出，皇帝、皇后側座，親王進酒，臣僚陪拜，皇太后宣答，皆如正旦之儀。
HCH_010_053_000290	臣僚分班，不出，班首右階上殿奏表目，合班謝宣宴，上殿就位如儀。
HCH_010_053_000291	御床入。
HCH_010_053_000292	皇帝進皇太后酒如初，各就座行酒，宣飲盡，如皇太后生辰之儀。
HCH_010_053_000293	皇后進酒，如皇帝之儀。
HCH_010_053_000294	三進酒，行茶，教坊致語，行殽膳，大饌，七進酒。
HCH_010_053_000295	曲破，臣僚起，御床出，謝宴，皆如皇太后生辰儀。
HCH_010_053_000296	立春儀：皇帝出就內殿，拜先帝御容，北南臣僚丹墀內合班，再拜。
HCH_010_053_000297	可矮墩以上入殿，賜坐。
HCH_010_053_000298	帝進御容酒，陪位並侍立皆再拜。
HCH_010_053_000299	一進酒，臣僚下殿，左右相向立。
HCH_010_053_000300	皇帝戴幡勝，等第賜幡勝。
HCH_010_053_000301	臣僚簪畢，皇帝於土牛前上香，三奠酒，不拜。
HCH_010_053_000302	教坊動樂，侍儀使跪進彩杖。
HCH_010_053_000303	皇帝鞭土牛，可矮墩以上北南臣僚丹墀內合班，跪左膝，受彩杖，直起，再拜。
HCH_010_053_000304	贊各祗候。
HCH_010_053_000305	司辰報春至，鞭土牛三匝矮墩鞭止，引節度使以上上殿，撒谷豆，擊土牛。
HCH_010_053_000306	撒谷豆，許眾奪之。
HCH_010_053_000307	臣僚依位坐，酒兩行，春盤入。
HCH_010_053_000308	酒三行畢，行茶。
HCH_010_053_000309	皆起。
HCH_010_053_000310	禮畢。
HCH_010_053_000311	重午儀：至日，臣僚昧爽赴禦帳，皇帝系長壽彩縷升車坐，引北南臣僚合班，如丹墀之儀。
HCH_010_053_000312	所司各賜壽縷，揖臣僚跪受，再拜。
HCH_010_053_000313	引退，從駕至膳所，酒三行。
HCH_010_053_000314	若賜宴，臨時聽敕。
HCH_010_053_000315	重九儀：北南臣僚旦赴禦帳，從駕至圍場，賜茶。
HCH_010_053_000316	皇帝就坐，引臣僚御前班立，所司各賜菊花酒，跪受，再拜。
HCH_010_053_000317	酒三行，揖起。
HCH_010_053_000318	藏鬮儀：至日，北南臣僚常服入朝，皇帝御天祥殿，臣僚依位賜坐。
HCH_010_053_000319	契丹南面，漢人北面，分朋行鬮，或五或七籌。
HCH_010_053_000320	賜膳，入食畢，皆起。
HCH_010_053_000321	頃之，復坐行鬮如初。
HCH_010_053_000322	晚賜茶，三籌或五籌，罷教坊承應。
HCH_010_053_000323	若帝得鬮，臣僚進酒訖，以次賜酒。
HCH_010_053_000324	大康十年十二月二十二日，始行是儀。
HCH_010_053_000325	是日不禦朝。
