HCH_012_324_000233	國中有金塔、金橋、殿宇三十餘所。
HCH_012_324_000234	王歲時一會，羅列玉猿、孔雀、白象、犀牛於前，名曰百塔洲。
HCH_012_324_000235	盛食以金盤、金椀，故有「富貴真臘」之諺。
HCH_012_324_000236	民俗富饒。
HCH_012_324_000237	天時常熱，不識霜雪，禾一歲數稔。
HCH_012_324_000238	男女椎結，穿短衫，圍梢布。
HCH_012_324_000239	刑有劓、刖、刺配，盜則去手足。
HCH_012_324_000240	番人殺唐人罪死；唐人殺番人則罰金，無金則鬻身贖罪。
HCH_012_324_000241	唐人者，諸番呼華人之稱也，凡海外諸國盡然。
HCH_012_324_000242	婚嫁，兩傢俱八日不出門，晝夜燃燈。
HCH_012_324_000243	人死置於野，任烏鳶食，俄頃食盡者，謂為福報。
HCH_012_324_000244	居喪，但髡其髮，女子則額上剪髮如錢大，曰用此報親。
HCH_012_324_000245	文字以麂鹿雜皮染黑，用粉為小條畫於上，永不脫落。
HCH_012_324_000246	以十月為歲首，閏悉用九月。
HCH_012_324_000247	夜分四更。
HCH_012_324_000248	亦有曉天文者，能算日月薄蝕。
HCH_012_324_000249	其地謂儒為班詰，僧為苧姑，道為八思。
HCH_012_324_000250	班詰不知讀何書，由此入仕者為華貫。
HCH_012_324_000251	先時項掛一白線以自別，既貴曳白如故。
HCH_012_324_000252	俗尚釋教，僧皆食魚、肉，或以供佛，惟不飲酒。
HCH_012_324_000253	其國自稱甘孛智，後訛為甘破蔗，萬曆後又改為柬埔寨。
HCH_012_324_000254	暹羅，在占城西南，順風十晝夜可至，即隋、唐赤土國。
HCH_012_324_000255	後分為羅斛、暹二國。
HCH_012_324_000256	暹土瘠不宜稼，羅斛地平衍，種多獲，暹仰給焉。
HCH_012_324_000257	元時，暹常入貢。
HCH_012_324_000258	其後，羅斛強，並有暹地，遂稱暹羅斛國。
HCH_012_324_000259	洪武三年，命使臣呂宗俊等齎詔諭其國。
HCH_012_324_000260	四年，其王參烈昭{田比}牙遣使奉表，與宗俊等偕來，貢馴象、六足龜及方物，詔賜其王錦綺及使者幣帛有差。
HCH_012_324_000261	已，復遣使賀明年正旦，詔賜《大統歷》及彩幣。
HCH_012_324_000262	五年貢黑熊、白猿及方物。
HCH_012_324_000263	明年復來貢。
HCH_012_324_000264	其王之姊參烈思寧別遣使進金葉表，貢方物於中宮，卻之。
HCH_012_324_000265	已而其姊復遣使來貢，帝仍卻之，而宴賚其使。
HCH_012_324_000266	時其王懦而不武，國人推其伯父參烈寶毘邪�哩哆囉祿主國事，遣使來告，貢方物，宴賚如制。
HCH_012_324_000267	已而新王遣使來貢、謝恩，其使者亦有獻，帝不納。
HCH_012_324_000268	已，遣使賀明年正旦，貢方物，且獻本國地圖。
HCH_012_324_000269	七年，使臣沙裡拔來貢。
HCH_012_324_000270	言去年舟次烏豬洋，遭風壞舟，飄至海南，賴官司救護，尚存飄余兜羅綿、降香、蘇木諸物進獻，廣東省臣以聞。
HCH_012_324_000271	帝怪其無表，既言舟覆，而方物乃有存者，疑其為番商，命卻之。
HCH_012_324_000272	諭中書及禮部臣曰：「古諸侯於天子，比年一小聘，三年一大聘。九州之外，則每世一朝，所貢方物，表誠敬而已。惟高麗頗知禮樂，故令三年一貢。他遠國，如占城、安南、西洋瑣裡、爪哇、浡泥、三佛齊、暹羅斛、真臘諸國，入貢既頻，勞費太甚。今不必復爾，其移牒諸國俾知之。」
HCH_012_324_000273	然而來者不止。
HCH_012_324_000274	其世子蘇門邦王昭祿群膺亦遣使上箋於皇太子，貢方物。
HCH_012_324_000275	命引其使朝東宮，宴賚遣之。
HCH_012_324_000276	八年再入貢。
HCH_012_324_000277	其舊明台王世子昭孛羅局亦遣使奉表朝貢，宴賚如王使。
HCH_012_324_000278	十年，昭祿群膺承其父命來朝。
HCH_012_324_000279	帝喜，命禮部員外郎王恆等齎詔及印賜之，文曰「暹羅國王之印」，並賜世子衣幣及道里費。
HCH_012_324_000280	自是，其國遵朝命，始稱暹羅；比年一貢，或一年兩貢。
HCH_012_324_000281	至正統後，或數年一貢雲。
HCH_012_324_000282	十六年，賜勘合文冊及文綺、磁器，與真臘等。
HCH_012_324_000283	二十年貢胡椒一萬斤、蘇木一萬斤。
HCH_012_324_000284	帝遣官厚報之。
HCH_012_324_000285	時溫州民有市其沉香諸物者，所司坐以通番，當棄市。
HCH_012_324_000286	帝曰：「溫州乃暹羅必經之地，因其往來而市之，非通番也。」
HCH_012_324_000287	乃獲宥。
HCH_012_324_000288	二十一，年貢象三十、番奴六十。
HCH_012_324_000289	二十二年，世子昭祿群膺遣使來貢。
HCH_012_324_000290	二十三，年貢蘇木、胡椒、降香十七萬斤。
HCH_012_324_000291	二十八年，昭祿群膺遣使朝貢，且告父喪。
HCH_012_324_000292	命中官趙達等往祭，敕世子嗣王位，賜賚有加。
HCH_012_324_000293	諭曰：「朕自即位以來，命使出疆，周於四維，足履其境者三十六，聲聞於耳者三十一，風殊俗異。大國十有八，小國百四十九，較之於今，暹羅最近。邇者使至，知爾先王已逝。王紹先三之緒，有道於邦家，臣民懽懌。茲特遣人錫命，王其罔失法度，罔淫於樂，以光前烈。欽哉。」
HCH_012_324_000294	成祖即位，詔諭其國。
HCH_012_324_000295	永樂元年賜其王昭祿群膺哆囉諦剌駝紐鍍金銀印，其王即遣使謝恩。
HCH_012_324_000296	六月，以上高皇帝尊謚，遣官頒詔，有賜。
HCH_012_324_000297	八月覆命給事中王哲、行人成務賜其王錦綺。
HCH_012_324_000298	九月命中官李興等齎敕，勞賜其王，其文武諸臣並有賜。
HCH_012_324_000299	二年有番船飄至福建海岸，詰之，乃暹羅與琉球通好者。
HCH_012_324_000300	所司籍其貨以聞，帝曰：「二國修好，乃甚美事，不幸遭風，正宜憐惜，豈可因以為利。所司其治舟給粟，俟風便遣赴琉球。」
HCH_012_324_000301	是月，其王以帝降璽書勞賜，遣使來謝，貢方物。
HCH_012_324_000302	賜齎有加，並賜《列女傳》百冊。
HCH_012_324_000303	使者請頒量衡為國永式，從之。
