HCH_012_002_000296	秋七月甲子，李文忠破元兵於大寧、高州。
HCH_012_002_000297	壬申，倭寇登、萊。
HCH_012_002_000298	八月甲午朔，祀歷代帝王廟。
HCH_012_002_000299	辛丑，詔軍士陣歿，父母妻子不能自存者，官為存養。
HCH_012_002_000300	百姓避兵離散或客死，遺老幼，並資遣還。
HCH_012_002_000301	遠宦卒官，妻子不能歸者，有司給舟車資送。
HCH_012_002_000302	庚申，振河間、廣平、順德、真定饑，蠲租稅。
HCH_012_002_000303	九月丁丑，遣崇禮侯買的里八剌歸，遺元嗣君書。
HCH_012_002_000304	冬十一月壬戌，納哈出犯遼陽，千戶吳壽擊走之。
HCH_012_002_000305	辛未，有事於圜丘。
HCH_012_002_000306	十二月戊戌，召鄧愈、湯和還。
HCH_012_002_000307	是年，阿難功德國、暹羅、琉球、三佛齊、烏斯藏、撒里、畏兀兒入貢。
HCH_012_002_000308	八年春正月辛未，增祀雞籠山功臣廟一百八人。
HCH_012_002_000309	癸酉，命有司察窮民無告者，給屋舍衣食。
HCH_012_002_000310	辛巳，鄧愈、湯和等十三人屯戍北平、陝西、河南。
HCH_012_002_000311	丁亥，詔天下立社學。
HCH_012_002_000312	是月，河決開封，發民夫塞之。
HCH_012_002_000313	二月甲午，宥雜犯死罪以下及官犯私罪者，謫鳳陽輸作屯種贖罪。
HCH_012_002_000314	癸丑，耕耤田。
HCH_012_002_000315	召徐達、李文忠、馮勝還，傅友德等留鎮北平。
HCH_012_002_000316	三月辛酉，立鈔法。
HCH_012_002_000317	辛巳，罷寶源局鑄錢。
HCH_012_002_000318	夏四月辛卯，幸中都。
HCH_012_002_000319	丁巳，至自中都。
HCH_012_002_000320	免彰德、大名、臨洮、平涼、河州被災田租。
HCH_012_002_000321	罷營中都。
HCH_012_002_000322	致仕誠意伯劉基卒。
HCH_012_002_000323	五月己巳，永嘉侯朱亮祖偕傅友德鎮北平。
HCH_012_002_000324	六月壬寅，指揮同知胡汝平貴州蠻。
HCH_012_002_000325	秋七月己未朔，日有食之。
HCH_012_002_000326	辛酉，改作太廟。
HCH_012_002_000327	壬戌，召傅友德、朱亮祖還，李文忠、顧時鎮山西、北平。
HCH_012_002_000328	戊辰，詔百官奔父母喪不俟報。
HCH_012_002_000329	京師地震。
HCH_012_002_000330	丁丑，免應天、太平、寧國、鎮江及蘄、黃諸府被災田租。
HCH_012_002_000331	八月己酉，元擴廓帖木兒卒。
HCH_012_002_000332	冬十月丁亥，詔舉富民素行端潔達時務者。
HCH_012_002_000333	壬子，命皇太子諸王講武中都。
HCH_012_002_000334	十一月丁丑，有事於圜丘。
HCH_012_002_000335	十二月戊子，京師地震。
HCH_012_002_000336	甲寅，遣使振蘇州、湖州、嘉興、松江、常州、太平、寧國、杭州水災。
HCH_012_002_000337	是月，納哈出犯遼東，指揮馬雲、葉旺大敗之。
HCH_012_002_000338	是年，撒里、高麗、占城、暹羅、日本、爪哇、三佛齊入貢。
HCH_012_002_000339	九年春正月，中山侯湯和，潁川侯傅友德，都督僉事藍玉、王弼，中書右丞丁玉，備邊延安。
HCH_012_002_000340	三月己卯，詔曰：「比年西征燉煌，北伐沙漠，軍需甲仗，皆資山、陝，又以秦、晉二府宮殿之役，重困吾民。平定以來，閭閻未息。國都始建，土木屢興。畿輔既極煩勞，外郡疲於轉運。今蓄儲有餘，其淮、揚、安、徽、池五府及山西、陝西、河南、福建、江西、浙江、北平、湖廣今年租賦，悉免之。」
HCH_012_002_000341	夏四月庚戌，京師自去年八月不雨，是日始雨。
HCH_012_002_000342	五月癸酉，自庚戌雨，至是日始霽。
HCH_012_002_000343	六月甲午，改行中書省為承宣布政使司。
HCH_012_002_000344	辛丑，李文忠還。
HCH_012_002_000345	秋七月癸丑朔，日有食之。
HCH_012_002_000346	是月，蠲蘇、松、嘉、湖水災田租，振永平旱災。
HCH_012_002_000347	元將伯顏帖木兒犯延安，傅友德敗降之。
HCH_012_002_000348	八月己酉，遣官省歷代帝王陵寢，禁芻牧，置守陵戶。
HCH_012_002_000349	忠臣烈士祠，有司以時葺治。
HCH_012_002_000350	分遣國子生修嶽鎮海瀆祠。
HCH_012_002_000351	西番朵兒只巴寇罕東，河州指揮甯正擊走之。
HCH_012_002_000352	閏九月庚寅，以災異詔求直言。
HCH_012_002_000353	冬十月己未，太廟成，自是行合享禮。
HCH_012_002_000354	丙子，命秦、晉、燕、吳、楚、齊諸王治兵鳳陽。
HCH_012_002_000355	十一月壬午，有事於圜丘。
HCH_012_002_000356	戊子，徙山西及真定民無產者田鳳陽。
HCH_012_002_000357	十二月甲寅，振畿內、浙江、湖北水災。
HCH_012_002_000358	己卯，遣都督同知沐英乘傳詣陝西問民疾苦。
HCH_012_002_000359	是年，覽邦、琉球、安南、日本、烏斯藏、高麗入貢。
HCH_012_002_000360	十年春正月辛卯，以羽林等衞軍益秦、晉、燕三府護衞。
HCH_012_002_000361	是春，振蘇、松、嘉、湖水災。
HCH_012_002_000362	夏四月己酉，鄧愈為征西將軍，沐英為副將軍，率師討吐番，大破之。
HCH_012_002_000363	是月，振太平、寧國及宜興、錢塘諸縣水災。
HCH_012_002_000364	五月庚子，韓國公李善長、曹國公李文忠總中書省、大都督府、御史臺，議軍國重事。
HCH_012_002_000365	癸卯，振湖廣水災。
HCH_012_002_000366	丙午，戶部主事趙乾振荊、蘄遲緩，伏誅。
